altProducts	category	categoryEng	commentCount	globalYn	id	japanYn	koreaYn	logoUrl	memos	name	nameEng	nation	productType	tags
['설화수', '  아모레퍼시픽', '  빌리프', '  아미퓨어', '  라프레리']	화장품	cosmetic	1	False	172	False	False		[]	코스메데코르테	cosme de corte	일본	GENERAL	['#백화점', '  #화장품', '  #리포솜']
['딥디크', ' 조말론', ' 버버리']	화장품	cosmetic	0	False	171	False	False		[]	페르난다	fernanda	일본	GENERAL	['#향수', ' #바디미스트', ' #핸드크림']
['YBS', ' KSK']	기타	etc	8	False	168	False	False		[]	와이케이케이	ykk	일본	GENERAL	['#지퍼', ' #의류부자재', ' #지퍼에YKK']
['유니더스 울트라씬', ' 바른생각', ' 듀렉스', ' 아우성']	기타	etc	4	False	167	False	False		[]	오카모토	okamoto	일본	GENERAL	['#콘돔', '  #전범기업', '  #위안부보급']
['이니스프리', '  더페이스샵', '  미샤', ' 에뛰드하우스', ' 아미퓨어']	화장품	cosmetic	6	False	166	False	False		[]	디에이치씨	DHC	일본	GENERAL	['#선크림', ' #극우', ' #클렌징']
['한성', ' 앱코', '  제닉스', ' 마이크로소프트', ' 커세어']	취미	hobby	5	False	164	False	False		[]	해피해킹	happyhacking	일본	GENERAL	['#PFU', ' #키보드', ' #토프레']
['대한항공', ' 아시아나항공', ' 델타항공', ' 진에어', '  제주항공', '  에어부산', '  티웨이항공', '  이스타항공', '  에어서울']	기타	etc	19	False	162	False	False		[]	일본항공(JAL)	JAL	일본	GENERAL	['#항공사', ' #여행', ' #환승', ' #원월드']
['대한항공', ' 아시아나항공', ' 델타항공', ' 진에어', '  제주항공', '  에어부산', '  티웨이항공', '  이스타항공', '  에어서울']	기타	etc	2	False	161	False	False		[]	전일본공수(ANA)	ANA	일본	GENERAL	['#항공사', ' #여행', ' #환승', ' #스타얼라이언스']
['테라', ' 카스', ' 하이트']	음식	food	16	False	160	False	False		[]	기린 맥주	kirn	일본	GENERAL	['#맥주', ' #전범기업', ' #미쯔비스']
['유정피싱', ' 바낙스', ' JS', ' NS', ' 도요피싱', ' 다미끼', ' 잔카', ' 하이테나']	취미	hobby	2	False	159	False	False		[]	메가배스	megabass	일본	GENERAL	['#낚시', ' #낚시용풍', ' #베이트릴', ' #스피닝릴', ' #루어', ' #낚시대']
['캣츠크로우', ' 우리들이야기', ' 잔카', ' 바낙스', ' 하이테나']	취미	hobby	11	False	155	False	False		[]	데코이	decoy	일본	GENERAL	['#루어낚시바늘', ' #취미', ' #레저', ' #낚시']
['로케트배터리', ' 현대중공업', ' 두산중공업', ' 계양', ' 보쉬', ' 힐티']	가전제품	electric	9	False	154	False	False		[]	히타치	hitachi	일본	GENERAL	['#지게차', ' #미니굴삭기', ' #공구', ' #배터리', ' #전범기업']
['한성', ' 앱코', '  제닉스', ' 마이크로소프트', ' 커세어']	취미	hobby	63	False	153	False	False		[]	리얼포스	realforce	일본	GENERAL	['#키보드', ' #무접점', ' #정전용량방식', ' #게이밍키보드', ' #컴퓨터']
['엑스패드']	화장품	cosmetic	4	False	152	False	False		[]	식스패드	sixpad	일본	GENERAL	['호날두', ' EMS저주파', ' 운동']
['Wf페이스피트니스', ' 엘지프라엘']	화장품	cosmetic	0	False	151	False	False		[]	파오	pao	일본	GENERAL	['#V라인', ' #얼굴윤곽', ' #미용']
['엘지프라엘', ' 셀리턴']	화장품	cosmetic	0	False	150	False	False		[]	카사업	caxa up	일본	GENERAL	['#뷰티디바이스', ' #리프팅기', ' #피부관리기']
['엘지프라엘', ' 메이크온', ' 바나브', ' 위드뷰티']	화장품	cosmetic	2	False	149	False	False		[]	리파	refa	일본	GENERAL	['#이미용기기', ' #뷰티디바이스', ' #피부관리기']
['타이틀리스트', ' 빈폴 골프', ' 테일러메이드', ' MFS골프']	취미	hobby	3	False	148	False	False		[]	온오프골프	onoffgolf	일본	GENERAL	['#골프채', ' #골프클럽', ' #아이언', ' #드라이버', ' #다이와']
['까스텔바쟉', ' 빈폴 골프', ' 테일러메이드', ' MFS골프']	패션	fashion	3	False	147	False	False		[]	던롭골프	dunlop golf	일본	GENERAL	['#의류', ' #골프웨어', ' #골프용품']
['타이틀리스트', ' 랭스필드', ' 테일러메이드', ' 핑', ' MFS골프']	취미	hobby	4	False	146	False	False		[]	혼마	honma	일본	GENERAL	['#골프', ' #일본', ' #스포츠 #골프채']
['삼성', ' LG', ' HP']	가전제품	electric	19	False	145	False	False		[]	후지제록스	fujixerox	일본	GENERAL	['#복사기 #프린터 #컬러복합기 #복합기']
['사조고양이캔', ' 카카토', ' 알모네이쳐']	반려동물	pet	2	False	143	False	False		[]	금관농후	금관농후	일본	GENERAL	['#고양이', ' #간식', ' #캔', ' #집사']
['사조고양이캔', ' 카카토', ' 알모네이쳐']	반려동물	pet	4	False	142	False	False		[]	먀우먀우	miawmiaw	일본	GENERAL	['#고양이', ' #간식', ' #캔', ' #집사']
['키플링', ' 캐스키드슨']	패션	fashion	11	False	136	False	False		[]	레스포삭	LeSportsac	일본	GENERAL	['#가방', ' #잡화', ' #꽃']
['미장센', ' 유한매직스피드', ' 리엔', ' 로레알']	화장품	cosmetic	3	False	135	False	False		[]	비겐크림톤	bigen cream tone	일본	GENERAL	['#염색', ' #헤어', ' #미용']
['KB저축은행', ' NH저축은행']	금융	money	7	False	134	False	False		[]	JT저축은행	JT Saving Bank	일본	GENERAL	['#대부업', ' #저축은행']
['카스', '  하이트', '  테라']	음식	food	0	False	133	False	False		[]	삿포로	sapporo	일본	GENERAL	['#맥주', ' #주류', ' #편의점 ']
['동아연필', ' 모닝글로리', ' 모나미', ' 동아', ' 문화']	취미	hobby	13	False	131	False	False		[]	톰보우	tombow	일본	GENERAL	['#미술용품', ' #화방', ' #미술입시용품', ' #학용품', ' #문구']
['파리바게뜨', ' 뚜레쥬르', ' 던킨도너츠', ' 파네링']	음식	food	4	False	130	False	False		[]	미스터도넛	mister donunt	일본	GENERAL	['#도넛', ' #빵']
['계양', ' 아임삭', ' 디월트', ' 밀워키']	기타	etc	33	False	129	False	False		[]	마끼다	makita	일본	GENERAL	['#공구', ' #전동공구', ' #셀프인테리어']
['VDL', ' 랑콤', ' 아모레퍼시픽', ' 에스티로더']	화장품	cosmetic	6	False	128	False	False		[]	로라메르시에	lauramercier	일본	GENERAL	['#시세이도그룹', ' #아이섀도우', ' #바디버터']
['팸퍼스', ' 하기스', ' 보솜이', ' 페넬로페']	생활	life	10	False	125	False	False		[]	군 기저귀	goo.n	일본	GENERAL	['#아기', ' #기저귀', ' #육아']
['자주', ' MCM']	패션	fashion	9	False	123	False	False	TODO	[]	이세이 미야케	ISSEY MIYAKE	일본	GENERAL	['#의류', ' #쇼핑', ' #바오바오백']
