base_price	delivery_expected_date	delivery_type	discount_rate	href	is_soldout	item_id	name	price	product_id	rating	rating_count	vendor_item_id	brand_name	breadcrumb
	수요일 9/11 도착 예정			/vp/products/289586259?itemId=916601145&vendorItemId=5286268986		916601145	2019년 안심특선S29호 참치 추석선물세트 가방포함, 단품	53,930	289586259			5286268986	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	수요일 9/11 도착 예정			/vp/products/289549676?itemId=916483241&vendorItemId=5286142450		916483241	2019년 안심특선S10호 참치 추석선물세트 가방포함, 단품	49,550	289549676			5286142450	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	수요일 9/11 도착 예정			/vp/products/289747543?itemId=917123958&vendorItemId=5286844479		917123958	2019년 안심특선S20호 참치 추석선물세트 가방포함, 단품	101,790	289747543			5286844479	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	수요일 9/11 도착 예정			/vp/products/287359636?itemId=910674417&vendorItemId=5277906533		910674417	동원 동원참치 리챔 16호 추석 선물 세트, 단품	68,200	287359636			5277906533	동원	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	9/16 도착 예정			/vp/products/277349803?itemId=878448272&vendorItemId=5243724968		878448272	별도표기 삼육김 종합선물세트1호 추석선물 삼육김 세트, 단품	62,400	277349803			5243724968	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	9/16 도착 예정			/vp/products/275358608?itemId=870512831&vendorItemId=5201001256		870512831	별도표기 장흥 무산김 선물 세트 13호 추석 선물 세트 전장김, 단품	53,000	275358608			5201001256	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	9/16 도착 예정			/vp/products/275275856?itemId=870177258&vendorItemId=5200418747		870177258	별도표기 장흥 무산김 선물 세트 10호 추석 선물 세트 전장김, 단품	64,760	275275856			5200418747	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	9/16 도착 예정			/vp/products/275355155?itemId=870496727&vendorItemId=5200976555		870496727	별도표기 장흥 무산김 선물 세트 9호 추석 선물 세트 전장김, 단품	42,710	275355155			5200976555	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
20,900	내일(금) 9/6 도착 보장	로켓배송	4%	/vp/products/13888649?itemId=57671443&vendorItemId=3001499598		57671443	담터 호두 아몬드 율무차 115포 선물세트, 2070g, 1세트	19,900	13888649	4.5	(481)	3001499598	담터	[('/', '쿠팡 홈'), ('/np/categories/427729', '오피스간식/용품'), ('/np/categories/427939', '커피/차'), ('/np/categories/427954', '전통차/허브차'), ('/np/categories/427955', '전통차'), ('/np/categories/427962', '율무차')]
	모레(토) 9/7 도착 예정			/vp/products/288485296?itemId=913696953&vendorItemId=5282300087		913696953	[동원] 명절 추석 선물세트 행호 참치캔 (150gX30개)	77,300	288485296			5282300087	카즈미	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
