uid	user_name	helpful_count	write_count
14417920	김*호	40	291
37617664	김*영	17	62
22413314	허*화	0	11
109314052	김*현	96	282
25690116	김*지	0	2
103940102	홍*검	0	14
786440	오*선	1	35
108920841	유*원	1	29
9043976	송*화	2	72
105512971	이*경	0	1
44695560	블루베리짱	18	390
106430477	박*운	37	50
26607635	장*경	7	347
118226963	K*a	0	10
113377305	정*훈	2	11
11141146	조*미	14	30
106823715	조*원	25	351
110100523	김*현	0	3
33685550	이*연	7	118
38797361	위*숙	4	21
109576247	S*k	0	55
24117305	한*형	0	7
3014716	유*성	42	224
114950208	김*윤	3	4
16646210	박*찬	0	29
33685575	차*진	31	12
14155848	성*진	12	152
117833803	손*숙	2	32
13893709	이*실	3	94
8650830	득템굿	4	32
11141199	강*영	393	385
105906255	김*진	22	45
5767254	김*자	1	12
11796568	미니밸로	17	77
6291545	정*인	52	473
7340129	박*은	1	9
66715745	최*	1	2
60817507	전*경	9	143
7602279	손*근	0	228
107348072	일산선이	0	50
112459881	권*정	23	37
11272304	장*철	0	14
31195249	김*텔	4	52
110493813	조*현	8	63
102629493	손*완	0	60
16777335	최*희	1	8
12583032	이*수	8	131
11141248	박*하	1	50
49021057	김*주	8	26
116392068	이*식	0	1
68288645	puna	241	889
33292422	정*영	65	113
59900051	이*미	25	63
106430613	안*숙	1	214
29753494	박*희	0	20
16646297	엄*훈	0	4
66846874	서*섭	0	40
10354842	이*영	1	251
17170593	박*비	2	24
393379	임*민	2	81
100794532	윤*	0	158
111411364	이*영	0	36
108265637	권*옥	0	63
100008104	이*주	2	25
108527790	고*남	3	8
113246384	서*정	7	59
23462068	김*경	21	911
102891708	이*은	0	5
1966269	오*정	4	2
524477	김*숙	23	55
78250175	유*연	26	32
56754369	이*화	2	61
108658882	강*택	28	102
100925642	정*진	0	13
107610316	송*정	30	165
50200781	장*서	1	35
38273229	용*경	4	21
5505229	이*중	1	21
62521552	정*영	3	19
9961686	박*옥	2	150
5898455	박*숙	22	286
57802972	모리에리카	20	428
1704158	윤*미	47	15
105644258	이*경	109	124
114295012	박*형	0	7
57934055	최*호	0	97
1442023	김*현	2	5
5243114	이*민	12	18
17301739	정*정	0	54
111935725	김*국	0	23
41681137	김*	0	3
47317239	허*애	8	55
2621688	꼬마앙마	88	66
40239351	정*은	3	390
117702908	박*남	0	51
38273278	조*경	11	92
116261119	차*윤	1	3
106692862	정*숙	0	21
7995650	정*부	0	3
30408962	이*권	0	2
38273284	이*선	0	14
108396816	P*G	5	75
9699612	정*진	3	21
104857885	김*영	4	212
114032927	최*란	11	60
40239391	김*숙	3	25
4063522	유*진	6	9
106430759	임*연	0	224
21233961	강*현	2	21
100401449	이*민	2	29
105120045	김*애	479	720
54657327	윤*효	123	156
107741493	박*철	0	1
107479355	이*영	15	35
1966400	장*경	1	42
37749057	정*름	14	389
43909443	이*주	0	11
109576516	최*재	22	104
30540101	강*희	14	24
112460107	Z*A	4	193
1442125	유*일	2	49
106955089	차*주	0	25
65667426	이*복	2	27
108003683	김*석	52	20
4194662	전*이	2	36
32375143	김*영	5	83
111542635	박*미	1	6
113901933	Z*N	1	26
108921201	이*협	0	43
59375988	마*화	29	14
110887286	장*식	0	6
62783864	배*미	1	21
13894013	박*애	1	273
107741570	땀이쏟아져	149	185
100532612	양*경	99	39
12845444	조*욱	10	21
114033031	이*권	3	12
112198026	오*은	6	16
115474827	양*희	3	47
39059852	채*남	1	186
33816975	신*애	6	80
17301905	한*주	9	240
51249560	이*희	2	50
23855520	김*정	4	6
48890275	노*훈	1	88
111411619	김*희	55	380
48365987	Helen	7	22
7340454	변*순	247	1357
4719023	강*구	21	50
108528048	정*은	0	9
47841714	도*은	29	61
7209397	이*연	123	212
46662071	박*현	0	67
108003773	김*영	0	1
115343806	최*주	4	42
100008382	보솜이	93	339
19005893	정*욱	0	76
60686791	박*규	0	11
106299855	박*애	1	5
103809491	이*주	0	4
112329175	김*형	2	9
11010521	이*선	23	17
113377759	신*경	0	14
104858080	최*연	32	301
100532706	박*영	3	221
116523491	임*열	0	1
100401635	검은기사	0	87
20972008	G*G	0	22
2097640	모*사	1	3
2359792	이*화	2	20
32768498	우은엄마	51	605
6947318	마뇨	469	402
108790264	S*U	10	38
34079227	윤*정	43	70
118358525	김*윤	10	9
12059135	응아	5	28
101057024	이*화	3	53
24117766	배*민	1	56
12976647	김*진	0	4
41550348	최*란	3	23
40501772	박*남	10	929
27132431	강*숙	150	339
112591378	조*래	0	6
22413843	구*현	0	1
11141657	김*진	184	662
48628252	김*심	21	49
2753061	사랑이마미	729	122
15073836	이*애	5	23
12059181	김*주	38	186
111411758	J*I	3	19
3015216	김*철	0	3
109314613	김*아	0	11
1835574	정*숙	1	44
114295351	이*규	2	3
2622012	허*	1	2
36831810	명*숙	18	134
107479620	김*희	1	27
3670604	박미니	22	170
113902160	김*혜	1	28
6685269	임*영	10	4
6947417	김*진	7	102
4588126	산타베이비	201	110
13501023	강*희	23	130
13632097	동이사마	77	259
15336037	신*림	0	4
29229672	조*태	0	1
111411818	하*실	8	25
1311344	이*나	4	11
108659312	이*정	0	14
25690738	박*균	0	18
110625394	김*일	0	54
114557557	p*a	0	19
105775734	안*일	1	239
100663931	모니카	3	230
1442428	조*진	0	164
113246846	박*미	0	2
106693247	이*지	4	79
112329346	전*지	3	484
32244360	김*영	90	477
114950796	이*선	5	27
53871247	이지혜	206	133
107217552	류*진	193	608
6947472	이*직	0	4
10486428	감*선	26	150
108659362	허*호	0	41
52167330	박*숙	0	1
105251494	장*필	61	21
42336944	금*호	2	13
15991474	정*진	29	79
41288374	이*희	5	15
27525815	이*란	1	402
23331511	이*은	5	14
33292985	자두맘맘	107	262
8389306	임*미	0	30
36963004	정*향	1	30
31851204	윤*준	0	1
115606219	김*숙	2	17
14287563	이*미	48	66
14549710	이*일	0	6
13370064	김*성	9	139
29622998	장*희	1	51
15205084	장*호	0	22
12845795	김*선	0	11
106562278	정*란	0	12
115213032	이*식	0	84
102761193	김*영	0	14
110494442	N*y	3	10
110363371	윤*정	34	89
118096619	곽*석	1	1
104858350	설*호	4	75
24904431	김*경	0	2
110101236	최*희	11	58
918261	김*연	2	9
52167412	쿠홀릭	922	1115
109052666	문*환	45	118
115737339	박*준	26	47
112984828	장*정	0	34
65929981	이*금	22	121
26215174	송*영	7	64
100532999	김*환	0	6
107348743	고*천	52	69
105251599	목*애	4	30
42074898	권*길	6	5
63570711	이*익	1	64
120062743	김*영	4	5
107086617	이*훈	7	68
6554398	김*희	99	226
108528426	유*희	50	316
117048107	유*서	5	3
107741997	이*국	3	39
1835827	김*정	1	15
115999541	무민공쮸	0	31
108790584	W*E	20	25
6685497	황*윤	0	15
36700984	나*희	6	396
107873088	로또맘마	3	26
112198465	이*희	0	7
109314885	AERA	2	10
394054	이*경	3	10
111543111	백*례	0	3
100270920	최*지	42	23
10748749	조*련	20	37
78775118	한*영	0	38
1311567	박*준	0	31
73139026	구*영	0	26
3539797	김*주	1	105
117572445	김*우	0	5
112460640	우*정	33	90
110101346	고*희	5	11
74187623	정*원	0	5
42599276	우*영	41	82
110363500	이*신	2	3
106431343	윤*희	45	48
105907059	양*진	11	27
23855988	정*연	28	117
9307007	전*영	6	17
113116034	이*욱	0	13
110494601	신*호	1	26
117441421	조*정	0	3
109314959	최*만	14	34
101319574	정*옥	0	228
112198558	조*현	1	59
8651680	김*순	0	299
102237092	공*호	0	23
107611050	김*화	26	30
106693547	이*숙	1	12
20710323	임*은	0	12
105644979	윤*경	21	283
16909238	강*혜	89	61
25953216	홍*주	11	27
101450689	최*숙	0	9
34866114	권여사	75	236
115082177	김*주	3	3
78906314	C*I	0	291
34997199	조*희	2	5
17171408	최*열	1	21
42861521	김*정	47	806
3015631	이*영	0	5
100926419	신*순	82	529
2098133	전*라	5	8
106300374	박*정	10	90
105645017	박*미	6	373
15991769	윤뉸	4	19
107611099	황*윤	1	33
116523996	이*엽	0	33
3015647	김*호	30	250
104858591	박*호	9	96
108135394	오*경	32	189
102237159	양*아	4	40
111805418	권*옥	0	3
12059627	황*경	119	206
3802092	이*숙	0	6
108004334	김*희	0	28
43385839	이*진	8	17
3277806	조*린	4	40
107086833	서*수	30	45
43254777	조*정	18	130
100664315	김*덕	9	2
12452860	제*령	3	83
9307137	방*화	3	18
120062977	박*준	0	5
6947843	문*영	10	589
1180675	김*영	9	52
112067589	김*수	0	1
102499335	김*순	19	80
110756871	Z*I	4	29
109708301	이*호	2	150
1180692	오*혜	20	142
132119	현*지	7	24
3933212	김*리	0	9
25035804	김*협	0	2
28312610	심*희	42	14
107086883	김*람	0	63
38405156	김*랑	4	65
116786213	손*원	0	8
1311783	기*정	5	192
3277864	권*진	7	12
77071404	벤끗	91	455
100795439	이*복	9	229
107349044	이*님	0	4
20317236	김*순	0	18
109315127	장*기	3	38
33162298	임*아	5	16
107349053	김*애	0	13
105645121	김*성	183	225
104072258	박*애	0	6
116261957	문*란	0	6
3277898	임*원	0	19
3015755	임*영	7	20
14550099	조*진	0	47
49415251	류*미	18	12
118359126	허*복	0	16
20317280	김*미	7	749
31720546	김*용	27	45
108266599	김*주	0	24
112329836	김*원	0	6
109708397	임*경	67	66
31327343	김*의	3	7
100271225	김*윤	51	154
34604155	김*범	0	39
113378436	임*준	0	4
106431620	김*일	3	44
104858759	김*우	0	133
27395209	방*희	0	93
112592010	장*호	12	137
4981898	박*인	13	194
3015826	박*태	1	2
35652756	박*희	3	105
11666581	양*혜	1	8
57279640	권*연	2	33
115475612	송*호	0	18
110363805	오*식	0	13
1442976	윤*현	0	7
918690	한*애	0	4
3802275	안*희	9	15
36570278	이*주	5	71
525478	최*림	0	132
114164913	노*완	0	3
25822389	윤*정	0	197
787638	정*주	4	25
19137720	김*정	0	3
3146937	최*희	47	62
101319867	조*연	220	322
54265023	배*식	64	38
525503	소*화	15	15
263362	김*은	0	112
59376834	주*정	40	161
110494917	장*정	0	9
100795591	최*	5	2
105514184	조*철	14	264
107611337	박*령	0	63
25953489	이*화	35	157
81003730	정*연	3	2
105907416	박*민	0	93
113378520	이*솔	2	85
110232800	임*정	1	25
111543522	이*숙	0	19
101188840	이*영	72	346
22545641	최*영	1	68
14288113	김*숙	13	274
10093815	손*경	0	68
1311993	김*심	80	246
113771769	조*환	0	5
18089209	김*연	0	30
105383165	박*현	3	27
14943486	최*정	47	56
11928832	이*희	0	15
100271366	박*희	12	167
263431	이*랑	0	3
106562825	김*곤	1	230
104596745	박*경	24	356
106300684	I*R	1	43
22152463	김*민	160	473
100402450	윤*균	7	49
104727831	박*영	0	50
918811	정*주	0	12
100402463	라*자	0	5
1443105	궁이언니	16	74
106562854	방*미	0	40
75629863	유*영	18	111
3015977	김*정	28	94
108791087	강*화	1	12
51381552	이*근	1	67
21234994	홍*희	0	4
59376948	김*경	5	306
109053237	김*수	5	35
2491702	정*경	4	16
109970742	이*택	0	3
14026040	김*준	42	90
100533560	정*이	156	411
74057029	김*현	3	27
19400016	쑤윤남매	0	25
113771857	정*진	0	6
263505	조*랑	0	11
107873621	박*선	0	431
107087189	김*자	0	8
106562903	김*수	0	101
112330075	김*지	20	120
3409243	남*정	17	82
5113182	오*경	4	157
19531102	고*희	0	36
34342240	정*진	1	1012
40633707	시후야	65	662
2360684	정*형	15	42
2884976	김*선	8	41
117572978	고*영	0	9
18089331	김*민	0	18
49546622	최*영	0	7
5244294	김*선	1	79
107218313	이*명	41	78
104465803	장*미	0	307
112461206	박*광	0	13
108266907	C*E	0	3
100271515	김*일	3	66
105776541	황*군	41	103
105907611	조*상	0	37
106562975	이*헌	8	95
108529061	굳은심지	21	100
394666	임*비	10	98
8258995	권*우	0	87
114427317	ded	0	28
1443257	김*숙	2	27
27788733	고*은	8	99
110233022	최*아	11	14
45352391	전*숙	10	34
100664777	문*학	0	6
32769482	최*철	34	40
