"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동꽁치","대만","2019-07-24","44,928","불검출","불검출","적합"
"2","냉동대구","러시아","2019-07-24","1,397","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2019-07-24","14,400","불검출","불검출","적합"
"4","냉동가자미(각시가자미)","러시아","2019-07-24","22,050","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2019-07-24","18,700","불검출","불검출","적합"
"6","냉동명태","러시아","2019-07-24","529,717","불검출","불검출","적합"
"7","냉동꽁치","대만","2019-07-24","22,441","불검출","불검출","적합"
"8","냉동가자미","러시아","2019-07-24","49,600","불검출","불검출","적합"
"9","냉동가자미(각시가자미)","러시아","2019-07-24","22,050","불검출","불검출","적합"
"10","냉동새우(민물새우)","인도","2019-07-24","18,400","불검출","불검출","적합"
"합계","","-","-","743,683","-","-","-"
