"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
50Bq/Kg)","요오드
(기준:
100Bq/Kg)","판정"
"합계","","-","-","4,783","-","-","-"
"1","가공유크림","오사카부","2019-05-14","180","불검출","불검출","적합"
"2","가공유크림","오사카부","2019-05-14","210","불검출","불검출","적합"
"3","가공치즈","사이타마현","2019-05-14","504","불검출","불검출","적합"
"4","가공치즈","사이타마현","2019-05-14","648","불검출","불검출","적합"
"5","아이스크림","훗카이도","2019-05-14","228","불검출","불검출","적합"
"6","아이스크림","훗카이도","2019-05-14","245","불검출","불검출","적합"
"7","아이스크림","훗카이도","2019-05-14","470","불검출","불검출","적합"
"8","아이스크림","훗카이도","2019-05-14","475","불검출","불검출","적합"
"9","아이스크림","훗카이도","2019-05-14","514","불검출","불검출","적합"
"10","아이스밀크","훗카이도","2019-05-14","618","불검출","불검출","적합"
"11","아이스크림","훗카이도","2019-05-14","691","불검출","불검출","적합"
