"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
50Bq/Kg)","요오드
(기준:
100Bq/Kg)","판정"
"합계","","-","-","11,952","-","-","-"
"1","가공유크림","오사카부","2019-04-01","120","불검출","불검출","적합"
"2","가공유크림","오사카부","2019-04-01","150","불검출","불검출","적합"
"3","가공유크림","오사카부","2019-04-01","210","불검출","불검출","적합"
"4","아이스크림","훗카이도","2019-04-01","475","불검출","불검출","적합"
"5","아이스크림","훗카이도","2019-04-01","490","불검출","불검출","적합"
"6","아이스크림","훗카이도","2019-04-01","698","불검출","불검출","적합"
"7","아이스크림","훗카이도","2019-04-01","706","불검출","불검출","적합"
"8","아이스크림","훗카이도","2019-04-01","945","불검출","불검출","적합"
"9","아이스크림","훗카이도","2019-04-01","989","불검출","불검출","적합"
"10","아이스크림","니가타현","2019-04-01","7,170","불검출","불검출","적합"
