"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉장갈치","야마구치현","2019-02-27","632","불검출","불검출","적합"
"2","냉장명태","홋카이도","2019-02-27","182","불검출","불검출","적합"
"3","활우렁쉥이","홋카이도","2019-02-27","5,833","불검출","불검출","적합"
"4","활방어","에히메현","2019-02-27","8,290","불검출","불검출","적합"
"5","냉장다랑어(참다랑어)","나가사키현","2019-02-27","128","불검출","불검출","적합"
"6","활가리비","홋카이도","2019-02-27","7,000","불검출","불검출","적합"
"7","냉장가오리","야마구치현","2019-02-27","220","불검출","불검출","적합"
"8","냉장명태","홋카이도","2019-02-27","182","불검출","불검출","적합"
"9","활가리비","홋카이도","2019-02-27","6,975","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2019-02-27","3,832","불검출","불검출","적합"
"11","냉장명태","홋카이도","2019-02-27","3,000","불검출","불검출","적합"
"12","냉장갈치","효고현","2019-02-27","344","불검출","불검출","적합"
"13","냉장명태","홋카이도","2019-02-27","2,600","불검출","불검출","적합"
"14","활장어(먹장어)","나가사키현","2019-02-27","940","불검출","불검출","적합"
"15","활돔(참돔)","에히메현","2019-02-27","2,450","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2019-02-27","3,029","불검출","불검출","적합"
"17","활우렁쉥이","홋카이도","2019-02-27","6,449","불검출","불검출","적합"
"18","냉장명태","홋카이도","2019-02-27","4,000","불검출","불검출","적합"
"19","냉장명태","홋카이도","2019-02-27","2,600","불검출","불검출","적합"
"20","냉장홍어","홋카이도","2019-02-27","1,429","불검출","불검출","적합"
