"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
100Bq/Kg)","요오드
(기준:
300Bq/Kg)","판정"
"합계","","-","-","11,163","-","-","-"
"1","가공유크림","오사카부","2019-02-12","120","불검출","불검출","적합"
"2","가공유크림","오사카부","2019-02-12","120","불검출","불검출","적합"
"3","가공유크림","오사카부","2019-02-12","150","불검출","불검출","적합"
"4","가공유크림","오사카부","2019-02-12","150","불검출","불검출","적합"
"5","가공유크림","오사카부","2019-02-12","150","불검출","불검출","적합"
"6","가공유크림","오사카부","2019-02-12","150","불검출","불검출","적합"
"7","아이스밀크","홋카이도","2019-02-12","2,400","불검출","불검출","적합"
"8","아이스밀크","홋카이도","2019-02-12","3,600","불검출","불검출","적합"
"9","아이스밀크믹스","가나가와현","2019-02-12","604","불검출","불검출","적합"
"10","아이스밀크믹스","가나가와현","2019-02-12","3,719","불검출","불검출","적합"
