"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 52건","","","","29,212","","",""
"1","소스","후쿠오카현","2018-11-21","986","불검출","불검출","적합"
"2","두류가공품","아이치현","2018-12-22","232","불검출","불검출","적합"
"3","캔디류","미에현","2018-11-15","127","불검출","불검출","적합"
"4","초콜릿가공품","훗카이도","2018-12-06","126","불검출","불검출","적합"
"5","초콜릿가공품","훗카이도","2018-12-06","113","불검출","불검출","적합"
"6","초콜릿가공품","훗카이도","2018-12-06","216","불검출","불검출","적합"
"7","초콜릿가공품","훗카이도","2018-12-06","179","불검출","불검출","적합"
"8","초콜릿가공품","훗카이도","2018-12-06","56","불검출","불검출","적합"
"9","초콜릿가공품","훗카이도","2018-12-06","75","불검출","불검출","적합"
"10","캔디류","아이치현","2018-11-13","294","불검출","불검출","적합"
"11","캔디류","아이치현","2018-11-13","292","불검출","불검출","적합"
"12","밀가루","훗카이도","2018-12-07","4,975","불검출","불검출","적합"
"13","과자","아이치현","2018-12-21","504","불검출","불검출","적합"
"14","과자","나가노현","2018-12-06","386","불검출","불검출","적합"
