"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
100Bq/Kg)","요오드
(기준:
300Bq/Kg)","판정"
"합계","","-","-","3,761","-","-","-"
"1","가공유크림","오사카부","2018-12-26","150","불검출","불검출","적합"
"2","가공유크림","오사카부","2018-12-26","150","불검출","불검출","적합"
"3","가공유크림","오사카부","2018-12-26","180","불검출","불검출","적합"
"4","아이스밀크","돗토리현","2018-12-24","385","불검출","불검출","적합"
"5","가공유크림","오사카부","2018-12-24","210","불검출","불검출","적합"
"6","가공유크림","오사카부","2018-12-24","540","불검출","불검출","적합"
"7","가공유크림","오사카부","2018-12-24","330","불검출","불검출","적합"
"8","아이스크림","돗토리현","2018-12-24","328","불검출","불검출","적합"
"9","아이스크림","지바현","2018-12-24","496","불검출","불검출","적합"
"10","아이스크림","지바현","2018-12-24","496","불검출","불검출","적합"
"11","아이스크림","지바현","2018-12-24","496","불검출","불검출","적합"
