"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"46","소스","훗카이도","2018-10-22","1,000","불검출","불검출","적합"
"47","소스","시즈오카현","2018-09-21","1,000","불검출","불검출","적합"
"48","기타가공품","효고현","2018-04-09","10","불검출","불검출","적합"
"49","혼합제제","시가현","2018-11-01","25","불검출","불검출","적합"
"50","가공유지","ETC","2018-09-03","120","불검출","불검출","적합"
"51","즉석조리식품","가나가와현","2018-09-27","7,972","불검출","불검출","적합"
"52","즉석조리식품","가나가와현","2018-10-02","5,244","불검출","불검출","적합"
"53","즉석조리식품","가나가와현","2018-10-09","3,648","불검출","불검출","적합"
"54","즉석조리식품","가나가와현","2018-10-14","4,893","불검출","불검출","적합"
"55","숙면","구마모토현","2018-10-24","4,631","불검출","불검출","적합"
"56","가공두부","교토부","2018-10-11","14,250","불검출","불검출","적합"
"57","혼합제제","시가현","2018-11-02","50","불검출","불검출","적합"
"58","프 로 테아 제 (곰 팡
이성)","아이치현","2018-11-02","41","불검출","불검출","적합"
"59","소스","시즈오카현","2018-10-30","1,355","불검출","불검출","적합"
"60","고형차","교토부","2018-11-02","300","불검출","불검출","적합"
"61","청주","아키타현","2018-10-17","691","불검출","불검출","적합"
"62","청주","아키타현","2018-10-25","691","불검출","불검출","적합"
"63","청주","아키타현","2018-10-23","346","불검출","불검출","적합"
"64","청주","아키타현","2018-10-25","691","불검출","불검출","적합"
"65","당류가공품","오카야마현","2018-10-12","16,000","불검출","불검출","적합"
"66","청주","효고현","2018-09-13","300","불검출","불검출","적합"
"67","청주","시즈오카현","2018-10-10","1,728","불검출","불검출","적합"
"68","청주","훗카이도","2018-09-19","713","불검출","불검출","적합"
"69","청주","나라현","2018-10-04","1,080","불검출","불검출","적합"
"70","소주","미야자키현","2018-09-25","216","불검출","불검출","적합"
"71","청주","교토부","2018-08-31","173","불검출","불검출","적합"
"72","청주","훗카이도","2018-09-27","27","불검출","불검출","적합"
"73","청주","훗카이도","2018-09-21","115","불검출","불검출","적합"
"74","청주","아이치현","2018-10-12","240","불검출","불검출","적합"
"75","청주","시즈오카현","2018-10-10","130","불검출","불검출","적합"
"76","청주","시즈오카현","2018-10-10","43","불검출","불검출","적합"
"77","소주","미야자키현","2018-09-18","86","불검출","불검출","적합"
"78","캔디류","아이치현","2018-10-15","3,819","불검출","불검출","적합"
