"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"79","혼합제제","시가현","2018-09-11","1,602","불검출","불검출","적합"
"80","혼합제제","오카야마현","2018-10-22","45","불검출","불검출","적합"
"81","혼합제제","오사카부","2018-10-03","400","불검출","불검출","적합"
"82","혼합제제","효고현","2018-10-17","4,000","불검출","불검출","적합"
"83","혼합제제","오사카부","2018-10-02","315","불검출","불검출","적합"
"84","혼합제제","나가노현","2018-10-18","200","불검출","불검출","적합"
"85","혼합제제","오사카부","2018-10-05","300","불검출","불검출","적합"
"86","혼합제제","효고현","2018-10-11","34","불검출","불검출","적합"
"87","혼합제제","효고현","2018-10-10","102","불검출","불검출","적합"
"88","혼합제제","시가현","2018-10-17","100","불검출","불검출","적합"
"89","합성향료","시가현","2018-10-18","25","불검출","불검출","적합"
"90","합성향료","시가현","2018-10-19","25","불검출","불검출","적합"
"91","과자","사이타마현","2018-06-13","1,256","불검출","불검출","적합"
"92","과자","사이타마현","2018-05-30","1,256","불검출","불검출","적합"
"93","칼슘","이와테현","2018-10-09","12","불검출","불검출","적합"
"94","혼합제제","이바라키현","2018-09-20","660","불검출","불검출","적합"
"95","혼합제제","히로시마현","2018-09-21","240","불검출","불검출","적합"
"96","혼합제제","이바라키현","2018-10-01","1,200","불검출","불검출","적합"
"97","혼합제제","이바라키현","2018-10-02","780","불검출","불검출","적합"
"98","혼합제제","이바라키현","2018-10-03","90","불검출","불검출","적합"
"99","혼합제제","히로시마현","2018-09-21","15","불검출","불검출","적합"
"100","과자","도쿠시마현","2018-08-06","1,152","불검출","불검출","적합"
"101","과자","도쿠시마현","2018-07-30","1,138","불검출","불검출","적합"
"102","혼합제제","이바라키현","2018-10-04","80","불검출","불검출","적합"
"103","혼합제제","히로시마현","2018-10-01","180","불검출","불검출","적합"
"104","혼합제제","히로시마현","2018-10-09","30","불검출","불검출","적합"
"105","혼합제제","효고현","2018-10-19","15","불검출","불검출","적합"
"106","혼합제제","효고현","2018-10-18","30","불검출","불검출","적합"
"107","소스","히로시마현","2018-09-20","661","불검출","불검출","적합"
"108","소스","히로시마현","2018-09-03","1,519","불검출","불검출","적합"
"109","소스","히로시마현","2018-09-13","1,320","불검출","불검출","적합"
"110","복합조미식품","이바라키현","2018-09-05","43","불검출","불검출","적합"
"111","복합조미식품","이바라키현","2018-08-10","7","불검출","불검출","적합"
