"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 54건","","","","61,304","","",""
"1","혼합제제","오이타현","2018-09-09","1,000","불검출","불검출","적합"
"2","혼합제제","오카야마현","2018-10-16","990","불검출","불검출","적합"
"3","카레(커리)","니가타현","2018-10-03","3,036","불검출","불검출","적합"
"4","덱스트린","효고현","2018-09-16","1,500","불검출","불검출","적합"
"5","혼합제제","히로시마현","2018-10-05","105","불검출","불검출","적합"
"6","혼합제제","히로시마현","2018-10-04","120","불검출","불검출","적합"
"7","기타천연착향료","히로시마현","2018-10-18","120","불검출","불검출","적합"
"8","소스","후쿠오카현","2018-10-12","672","불검출","불검출","적합"
"9","호박산","효고현","2018-07-16","8,000","불검출","불검출","적합"
"10","호박산이나트륨","효고현","2018-08-10","7,200","불검출","불검출","적합"
"11","빵류","아이치현","2018-10-17","1,680","불검출","불검출","적합"
"12","소스","도치기현","2018-07-10","119","불검출","불검출","적합"
"13","소스","사이타마현","2018-07-09","306","불검출","불검출","적합"
"14","과자","이시카와현","2018-09-13","108","불검출","불검출","적합"
