"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 148건","","","","1,054,935","","",""
"1","맥주","후쿠오카현","2018-09-12","751,776","불검출","불검출","적합"
"2","고형차","교토부","2018-09-18","625","불검출","불검출","적합"
"3","과자","훗카이도","2018-09-21","432","불검출","불검출","적합"
"4","과자","훗카이도","2018-09-21","396","불검출","불검출","적합"
"5","과자","훗카이도","2018-09-19","198","불검출","불검출","적합"
"6","과자","훗카이도","2018-09-18","198","불검출","불검출","적합"
"7","과자","훗카이도","2018-09-25","198","불검출","불검출","적합"
"8","유탕면","후쿠오카현","2018-09-10","166","불검출","불검출","적합"
"9","맥주","후쿠오카현","2018-10-01","16,783","불검출","불검출","적합"
"10","맥주","후쿠오카현","2018-10-17","11,880","불검출","불검출","적합"
"11","기타식물성유지","시가현","2018-09-08","506","불검출","불검출","적합"
"12","혼합제제","오사카부","2018-10-16","420","불검출","불검출","적합"
"13","혼합제제","사이타마현","2018-09-18","120","불검출","불검출","적합"
"14","혼합제제","사이타마현","2018-09-12","36","불검출","불검출","적합"
