"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 124건","","","","297,453","","",""
"1","당류가공품","교토부","2018-07-06","339","불검출","불검출","적합"
"2","당류가공품","교토부","2018-06-19","47","불검출","불검출","적합"
"3","당류가공품","교토부","2018-06-01","150","불검출","불검출","적합"
"4","당류가공품","오사카부","2018-06-28","61","불검출","불검출","적합"
"5","소스","구마모토현","2018-05-17","346","불검출","불검출","적합"
"6","기타 수산물가공품","아이치현","2018-07-04","11,000","불검출","불검출","적합"
"7","혼합음료","후쿠오카현","2018-06-13","2,088","불검출","불검출","적합"
"8","탄산음료","사가현","2018-06-22","20,160","불검출","불검출","적합"
"9","탄산음료","사가현","2018-06-21","2,959","불검출","불검출","적합"
"10","탄산음료","사가현","2018-06-22","7,265","불검출","불검출","적합"
"11","탄산음료","사가현","2018-06-23","7,258","불검출","불검출","적합"
"12","숙면","구마모토현","2018-07-18","4,681","불검출","불검출","적합"
"13","소스","히로시마현","","2,070","불검출","불검출","적합"
