"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 201건","","","","717,772","","",""
"1","빵류","사가현","2018-07-26","1,840","불검출","불검출","적합"
"2","가공두부","후쿠오카현","2018-07-13","900","불검출","불검출","적합"
"3","빵류","아이치현","2018-07-24","197","불검출","불검출","적합"
"4","혼합제제","오카야마현","2018-07-18","300","불검출","불검출","적합"
"5","혼합제제","와카야마현","2018-07-10","90","불검출","불검출","적합"
"6","혼합장","나가노현","2018-06-14","1,600","불검출","불검출","적합"
"7","혼합장","나가노현","2018-06-14","4,000","불검출","불검출","적합"
"8","혼합제제","효고현","2018-07-17","10","불검출","불검출","적합"
"9","빵류","아이치현","2018-07-24","197","불검출","불검출","적합"
"10","추출가공식품","에히메현","2018-07-04","3,820","불검출","불검출","적합"
"11","소스","에히메현","2018-07-06","9,960","불검출","불검출","적합"
"12","소스","아오모리현","2018-07-03","2,160","불검출","불검출","적합"
"13","절임식품","와카야마현","2018-07-17","52","불검출","불검출","적합"
