"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 57건","","","","565,040","","",""
"1","맥주","후쿠오카현","2018-07-04","86,575","불검출","불검출","적합"
"2","맥주","아이치현","2018-07-09","174,480","불검출","불검출","적합"
"3","기타 수산물가공품","효고현","2018-07-20","400","불검출","불검출","적합"
"4","청주","나라현","2018-07-23","130","불검출","불검출","적합"
"5","청주","후쿠오카현","2018-07-26","1,620","불검출","불검출","적합"
"6","환자용식품","시즈오카현","2018-07-26","378","불검출","불검출","적합"
"7","탄산음료","후쿠오카현","2018-06-12","8,232","불검출","불검출","적합"
"8","소스","시즈오카현","2018-07-10","305","불검출","불검출","적합"
"9","향신료조제품","나가노현","2018-06-08","129","불검출","불검출","적합"
"10","향신료조제품","사이타마현","2018-06-15","298","불검출","불검출","적합"
"11","카레(커리)","니가타현","2018-05-30","792","불검출","불검출","적합"
"12","카레(커리)","니가타현","2018-05-23","792","불검출","불검출","적합"
"13","숙면","구마모토현","2018-06-28","275","불검출","불검출","적합"
