"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 117건","","","","272,595","","",""
"1","산화마그네슘","도쿠시마현","2018-07-02","3,000","불검출","불검출","적합"
"2","기타가공품","나가노현","2018-07-12","30","불검출","불검출","적합"
"3","건면","시즈오카현","2018-06-26","86","불검출","불검출","적합"
"4","양념젓갈","가나가와현","2018-06-14","48","불검출","불검출","적합"
"5","조미김","도쿄도","2018-07-12","30","불검출","불검출","적합"
"6","건면","시즈오카현","2018-06-11","96","불검출","불검출","적합"
"7","곡류가공품","히로시마현","2018-07-19","1,920","불검출","불검출","적합"
"8","소스","나가사키현","2018-06-28","7,838","불검출","불검출","적합"
"9","소스","나가사키현","2018-06-20","7,096","불검출","불검출","적합"
"10","소스","나가사키현","2018-03-16","3,639","불검출","불검출","적합"
"11","소스","나가사키현","2018-07-07","1,642","불검출","불검출","적합"
"12","과자","구마모토현","2018-07-19","65","불검출","불검출","적합"
"13","혼합제제","사이타마현","2018-07-26","414","불검출","불검출","적합"
