"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","활돔(참돔)","나가사키현","2018-04-06","3,873","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2018-04-06","9,280","불검출","불검출","적합"
"3","활가리비","홋카이도","2018-04-06","7,200","불검출","불검출","적합"
"4","활가리비","홋카이도","2018-04-06","7,300","불검출","불검출","적합"
"5","냉동만새기","태평양","2018-04-06","731","불검출","불검출","적합"
"6","냉장홍어","홋카이도","2018-04-06","926","불검출","불검출","적합"
"7","냉동명태","홋카이도","2018-04-06","23,250","불검출","불검출","적합"
"8","냉장갈치","후쿠오카현","2018-04-06","855","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2018-04-06","800","불검출","불검출","적합"
"10","냉장병어","와카야마현","2018-04-06","840","불검출","불검출","적합"
"11","냉장돔(황돔)","야마구치현","2018-04-06","310","불검출","불검출","적합"
"12","냉장병어","야마구치현","2018-04-06","224","불검출","불검출","적합"
"13","냉장홍어","후쿠오카현","2018-04-06","300","불검출","불검출","적합"
"14","냉장갈치","오이타현","2018-04-06","491","불검출","불검출","적합"
"15","냉장갈치","후쿠오카현","2018-04-06","740","불검출","불검출","적합"
"16","냉장가오리","야마구치현","2018-04-06","355","불검출","불검출","적합"
"17","냉장갈치","오이타현","2018-04-06","375","불검출","불검출","적합"
"18","활가리비","홋카이도","2018-04-06","6,802","불검출","불검출","적합"
"19","활게(참게)","후쿠오카현","2018-04-06","840","불검출","불검출","적합"
"20","활가리비","홋카이도","2018-04-06","6,950","불검출","불검출","적합"
"21","활가리비","홋카이도","2018-04-06","7,241","불검출","불검출","적합"
