"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 104건","","","","468,665","","",""
"1","소스류","군마현","2017-12-07","2,821","불검출","불검출","적합"
"2","발효식초","도치기현","2017-11-28","4,157","불검출","불검출","적합"
"3","소스","도치기현","2017-11-29","2,574","불검출","불검출","적합"
"4","소스류","나가사키현","2017-12-16","23,370","불검출","불검출","적합"
"5","소스류","나가사키현","2018-01-06","2,435","불검출","불검출","적합"
"6","소스","나가사키현","2017-12-15","20,979","불검출","불검출","적합"
"7","기타가공품","효고현","2017-06-09","25","불검출","불검출","적합"
"8","청주","오이타현","2017-02-23","628","불검출","불검출","적합"
"9","혼합제제","군마현","2018-01-09","20","불검출","불검출","적합"
"10","혼합제제","군마현","2018-01-09","60","불검출","불검출","적합"
"11","캔디류(캐러멜)","도치기현","2017-12-08","10,110","불검출","불검출","적합"
"12","맥주","후쿠오카현","2017-12-01","34,896","불검출","불검출","적합"
"13","청주","교토부","2017-12-13","2,736","불검출","불검출","적합"
