"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 150건","","","","545,114","","",""
"1","유탕면","후쿠오카현","2017-10-20","194","불검출","불검출","적합"
"2","과자","오사카부","2017-11-08","122","불검출","불검출","적합"
"3","소스","지바현","2017-11-15","133","불검출","불검출","적합"
"4","소스","지바현","2017-12-04","290","불검출","불검출","적합"
"5","건면","가가와현","2017-11-01","181","불검출","불검출","적합"
"6","소스","시즈오카현","2017-09-06","87","불검출","불검출","적합"
"7","소스","시즈오카현","2017-07-06","97","불검출","불검출","적합"
"8","향신료조제품","시즈오카현","2017-09-04","69","불검출","불검출","적합"
"9","소스","지바현","2017-06-20","277","불검출","불검출","적합"
"10","떡류","니가타현","2017-12-01","526","불검출","불검출","적합"
"11","떡류","니가타현","2018-01-05","133","불검출","불검출","적합"
"12","떡류","니가타현","2017-06-20","181","불검출","불검출","적합"
"13","혼합제제","도쿄도","2018-01-12","102","불검출","불검출","적합"
