"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
100Bq/Kg)","요오드
(기준:
300Bq/Kg)","판정"
"합계","","-","-","80,368","-","-","-"
"1","아이스밀크","사가현","2017-12-14","31,777","불검출","불검출","적합"
"2","아이스밀크","사가현","2017-12-14","20,952","불검출","불검출","적합"
"3","아이스밀크","사가현","2017-12-14","10,592","불검출","불검출","적합"
"4","아이스밀크","사가현","2017-12-14","10,592","불검출","불검출","적합"
"5","아이스밀크","홋카이도","2017-12-14","2,400","불검출","불검출","적합"
"6","아이스밀크","홋카이도","2017-12-14","600","불검출","불검출","적합"
"7","아이스밀크","돗토리현","2017-12-14","328","불검출","불검출","적합"
"8","아이스밀크","돗토리현","2017-12-14","656","불검출","불검출","적합"
"9","샤베트","돗토리현","2017-12-14","369","불검출","불검출","적합"
"10","아이스밀크","돗토리현","2017-12-14","886","불검출","불검출","적합"
"11","아이스밀크","돗토리현","2017-12-14","365","불검출","불검출","적합"
"12","아이스밀크","돗토리현","2017-12-14","551","불검출","불검출","적합"
"13","가공유크림","오사카부","2017-12-14","150","불검출","불검출","적합"
"14","가공유크림","오사카부","2017-12-14","150","불검출","불검출","적합"
