"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"10","소스류","도치기현","2017-09-08","12,355","불검출","불검출","적합"
"11","혼합제제","오사카부","2017-10-26","17","불검출","불검출","적합"
"12","어묵","시마네현","2017-10-19","2,862","불검출","불검출","적합"
"13","어묵","시마네현","2017-09-17","2,880","불검출","불검출","적합"
"14","즉석조리식품","나가노현","2017-10-10","3,387","불검출","불검출","적합"
"15","캔디류(캐러멜)","도치기현","2017-10-11","4,461","불검출","불검출","적합"
"16","복합조미식품","이바라키현","2017-09-28","29","불검출","불검출","적합"
"17","곡류가공품","후쿠시마현","2017-09-21","50","불검출","불검출","적합"
"18","된장","나가노현","2017-09-28","10,800","불검출","불검출","적합"
"19","카라멜색소","도치기현","2017-09-22","3,100","불검출","불검출","적합"
"20","비타민/가르시니아
캄보지아껍질추출물","도야마현","2017-09-13","660","불검출","불검출","적합"
"21","식초절임
(오이초절임)","도치기현","2017-10-20","42","불검출","불검출","적합"
"22","맥주","오이타현","2017-10-19","82,800","불검출","불검출","적합"
"23","가공두부","나가노현","2017-10-09","13,860","불검출","불검출","적합"
"24","어묵","효고현","2017-11-03","6,154","불검출","불검출","적합"
"25","초콜릿가공품","훗카이도","2017-11-01","770","불검출","불검출","적합"
"26","당류가공품","오사카부","2017-10-03","274","불검출","불검출","적합"
"27","초콜릿가공품","훗카이도","2017-11-01","114","불검출","불검출","적합"
"28","혼합음료","도쿄도","2017-09-30","13,786","불검출","불검출","적합"
"29","당류가공품","교토부","2017-10-24","261","불검출","불검출","적합"
"30","캔디류(양갱)","지바현","2017-10-03","41","불검출","불검출","적합"
"31","당류가공품","교토부","2017-10-16","385","불검출","불검출","적합"
"32","캔디류(양갱)","지바현","2017-09-29","42","불검출","불검출","적합"
"33","당류가공품","교토부","2017-09-14","73","불검출","불검출","적합"
"34","캔디류(양갱)","지바현","2017-09-28","42","불검출","불검출","적합"
