"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"126","향신료조제품
(고추냉이가공품)","사이타마현","2017-09-14","484","불검출","불검출","적합"
"127","가공두부","후쿠오카현","2017-11-06","12,060","불검출","불검출","적합"
"128","혼합제제","미에현","2017-10-31","192","불검출","불검출","적합"
"129","맥주","후쿠오카현","2017-11-07","17,448","불검출","불검출","적합"
"130","커피/건조","브라질
(수출국:일본)","2016-12-26","19,200","불검출","불검출","적합"
"131","맥주","후쿠오카현","2017-11-09","16,783","불검출","불검출","적합"
"132","맥주","후쿠오카현","2017-11-07","17,448","불검출","불검출","적합"
"133","건어포류","에히메현","2017-10-20","395","불검출","불검출","적합"
"134","향신료조제품
(고추냉이가공품)","사이타마현","2017-09-28","744","불검출","불검출","적합"
"135","규조토","아키타현","2017-09-27","3,000","불검출","불검출","적합"
"136","혼합제제","나가노현","2017-10-24","300","불검출","불검출","적합"
