"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"","","","","","","",""
"10","소스류","나가사키현","2017-09-15","1,941","불검출","불검출","적합"
"11","카레","야마가타현","2017-03-08","48","불검출","불검출","적합"
"12","소스류","나가사키현","2017-10-14","4,459","불검출","불검출","적합"
"13","소스류","나가사키현","2017-08-25","386","불검출","불검출","적합"
"14","소스류","나가사키현","2017-10-20","1,177","불검출","불검출","적합"
"15","소스류","나가사키현","2017-10-14","621","불검출","불검출","적합"
"16","유탕면류","기후현","2017-08-21","27","불검출","불검출","적합"
"17","유탕면류","기후현","2017-09-26","36","불검출","불검출","적합"
"18","유탕면류","기후현","2017-09-26","27","불검출","불검출","적합"
"19","소스류","미에현","2017-08-29","186","불검출","불검출","적합"
"20","소스류","나가사키현","2017-10-19","869","불검출","불검출","적합"
"21","소스류","나가사키현","2017-09-20","941","불검출","불검출","적합"
"22","소스류","미에현","2017-08-21","111","불검출","불검출","적합"
"23","소스류","나가사키현","2017-10-07","5,769","불검출","불검출","적합"
"24","드레싱","나가사키현","2017-10-20","1,324","불검출","불검출","적합"
"25","소스류","나가사키현","2017-10-13","4,968","불검출","불검출","적합"
"26","소스류","나가사키현","2017-10-12","623","불검출","불검출","적합"
"27","소스류","나가사키현","2017-10-04","632","불검출","불검출","적합"
"28","복합조미식품","나가사키현","2017-02-02","200","불검출","불검출","적합"
"29","건어포류","오사카부","2017-10-16","900","불검출","불검출","적합"
"30","건어포류","오사카부","2017-10-16","300","불검출","불검출","적합"
"31","소스류","히로시마현","2017-08-08","615","불검출","불검출","적합"
"32","소스류","히로시마현","2017-10-30","276","불검출","불검출","적합"
"33","소스류","히로시마현","2017-10-13","1,320","불검출","불검출","적합"
"34","소스류","히로시마현","2017-10-17","1,296","불검출","불검출","적합"
