"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"7","냉동꽁치","대만","2017-11-10","2,399","불검출","불검출","적합"
"8","냉동꽁치","대만","2017-11-10","127,548","불검출","불검출","적합"
"9","냉동꽁치","대만","2017-11-10","17,670","불검출","불검출","적합"
"10","냉동꽁치","대만","2017-11-10","20,870","불검출","불검출","적합"
"11","냉동꽁치","대만","2017-11-10","42,387","불검출","불검출","적합"
"12","냉동꽁치","대만","2017-11-10","33,777","불검출","불검출","적합"
"13","냉동가자미(첨치가자미,F)","미국","2017-11-10","10,000","불검출","불검출","적합"
"14","냉동꽁치","대만","2017-11-10","18,820","불검출","불검출","적합"
"15","냉동꽁치","대만","2017-11-10","14,740","불검출","불검출","적합"
"16","냉동꽁치","대만","2017-11-10","20,158","불검출","불검출","적합"
"17","냉동꽁치","대만","2017-11-10","22,890","불검출","불검출","적합"
"18","냉동가자미(각시가자미)","미국","2017-11-10","21,038","불검출","불검출","적합"
"19","냉동꽁치","대만","2017-11-10","7,006","불검출","불검출","적합"
"합계","","-","-","431,238","-","-","-"
