"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 124건","","","","700,104","","",""
"1","농산물조림","훗카이도","2017-07-19","600","불검출","불검출","적합"
"2","밀가루","후쿠오카현","2017-07-18","1,500","불검출","불검출","적합"
"3","밀가루","후쿠오카현","2017-06-19","2,400","불검출","불검출","적합"
"4","백설탕","후쿠오카현","2017-03-29","400","불검출","불검출","적합"
"5","당류가공품","효고현","2017-07-11","74","불검출","불검출","적합"
"6","과자(스낵과자)","지바현","2017-07-10","298","불검출","불검출","적합"
"7","청주","니가타현","2017-07-04","1,382","불검출","불검출","적합"
"8","청주","니가타현","2017-07-05","86","불검출","불검출","적합"
"9","청주","니가타현","2017-07-06","7,361","불검출","불검출","적합"
"10","청주","니가타현","2017-07-06","778","불검출","불검출","적합"
"11","청주","니가타현","2017-07-07","1,296","불검출","불검출","적합"
"12","청주","효고현","2017-07-07","3,321","불검출","불검출","적합"
"13","청주","효고현","2017-06-16","60","불검출","불검출","적합"
