"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 111건","","","","1,638,644","","",""
"1","캔디류(젤리)","아이치현","2017-07-10","245","불검출","불검출","적합"
"2","캔디류(젤리)","아이치현","2017-07-11","462","불검출","불검출","적합"
"3","복합조미식품","효고현","2017-06-29","750","불검출","불검출","적합"
"4","복합조미식품","효고현","2017-07-03","600","불검출","불검출","적합"
"5","캔디류(젤리)","아이치현","2017-07-10","462","불검출","불검출","적합"
"6","복합조미식품","효고현","2017-06-26","600","불검출","불검출","적합"
"7","복합조미식품","효고현","2017-06-22","750","불검출","불검출","적합"
"8","식염절임","와카야마현","2017-07-14","58","불검출","불검출","적합"
"9","장류절임","미야자키현","2017-07-18","800","불검출","불검출","적합"
"10","식염절임","도쿠시마현","2017-07-06","132","불검출","불검출","적합"
"11","캔디류(젤리)","아이치현","2017-07-11","462","불검출","불검출","적합"
"12","혼합제제","효고현","2017-07-13","17","불검출","불검출","적합"
"13","혼합제제","효고현","2017-07-11","17","불검출","불검출","적합"
