"","","","","수입","검사결과","",""
"제조일자
순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
(기준:100Bq/k
(기준:300Bq/k
판정
g)
g)","",""
"총 52건","","","","77,191","","",""
"1","청주","교토부","2017-07-04","540","불검출","불검출","적합"
"2","소주","교토부","2017-05-17","84","불검출","불검출","적합"
"3","청주","효고현","2017-05-01","115","불검출","불검출","적합"
"4","청주","교토부","2017-04-19","72","불검출","불검출","적합"
"5","소주","미야자키현","2017-06-01","108","불검출","불검출","적합"
"6","청주","교토부","2017-05-24","216","불검출","불검출","적합"
"7","청주","미에현","2017-06-27","3,000","불검출","불검출","적합"
"8","드레싱","사가현","2017-05-24","36","불검출","불검출","적합"
"9","소스류","히로시마현","2017-04-24","216","불검출","불검출","적합"
"10","카레","시즈오카현","2017-04-14","207","불검출","불검출","적합"
"11","식초절임(매실절임)","와카야마현","2017-06-13","96","불검출","불검출","적합"
"12","향신료조제품
(고추냉이가공품)","미야기현","2017-06-05","3,150","불검출","불검출","적합"
