"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동다랑어(눈다랑어,목살)","대서양","2017-06-28","1,019","불검출","불검출","적합"
"2","냉장명태","홋카이도","2017-06-28","684","불검출","불검출","적합"
"3","냉장대구","홋카이도","2017-06-28","1,160","불검출","불검출","적합"
"4","냉장명태","홋카이도","2017-06-28","672","불검출","불검출","적합"
"5","냉장명태","홋카이도","2017-06-28","612","불검출","불검출","적합"
"6","냉장명태","홋카이도","2017-06-28","1,356","불검출","불검출","적합"
"7","활가리비","홋카이도","2017-06-28","6,980","불검출","불검출","적합"
"8","냉장홍어","홋카이도","2017-06-28","771","불검출","불검출","적합"
"9","냉장대구","홋카이도","2017-06-28","840","불검출","불검출","적합"
"10","활가리비","홋카이도","2017-06-28","7,015","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2017-06-28","3,458","불검출","불검출","적합"
"12","냉동개아지살(가리비,포장횟감)","홋카이도","2017-06-28","4,200","불검출","불검출","적합"
"13","냉장명태","홋카이도","2017-06-28","672","불검출","불검출","적합"
"14","냉장갈치","오이타현","2017-06-28","60","불검출","불검출","적합"
"15","냉동새치(황새치,F,횟감)","태평양","2017-06-28","2,130","불검출","불검출","적합"
"16","냉동다랑어(눈다랑어,F,횟감)","태평양","2017-06-28","900","불검출","불검출","적합"
"17","냉동다랑어(눈다랑어,목살)","태평양","2017-06-28","6,180","불검출","불검출","적합"
"18","냉동다랑어(황다랑어,F,횟감)","인도양","2017-06-28","560","불검출","불검출","적합"
"19","활가리비","홋카이도","2017-06-28","7,100","불검출","불검출","적합"
"20","냉동해삼(자숙)","이시카와현","2017-06-28","254","불검출","불검출","적합"
