"48","초콜릿","훗카이도","2017-06-05","72","불검출","불검출","적합"
"49","청주","아키타현","2017-02-14","346","불검출","불검출","적합"
"50","청주","아키타현","2017-05-15","346","불검출","불검출","적합"
"51","청주","아키타현","2017-05-09","346","불검출","불검출","적합"
"52","혼합제제","히로시마현","2017-05-31","45","불검출","불검출","적합"
"53","청주","효고현","2017-05-09","1,220","불검출","불검출","적합"
"54","청주","효고현","2017-05-16","2,160","불검출","불검출","적합"
"55","청주","효고현","2017-05-16","720","불검출","불검출","적합"
"56","청주","효고현","2017-05-16","720","불검출","불검출","적합"
"57","청주","효고현","2017-05-11","2,700","불검출","불검출","적합"
"58","청주","효고현","2017-05-16","1,440","불검출","불검출","적합"
"59","녹차추출물/알로에
전잎","기후현","2017-04-18","442","불검출","불검출","적합"
"60","과자(스낵과자)","니가타현","2017-05-09","480","불검출","불검출","적합"
"61","복합조미식품","사이타마현","2017-05-22","2,160","불검출","불검출","적합"
"62","소스류","에히메현","2017-05-23","840","불검출","불검출","적합"
"63","소스류","에히메현","2017-05-24","1,162","불검출","불검출","적합"
"64","곡류가공품","에히메현","2017-05-24","1,500","불검출","불검출","적합"
"65","과자(스낵과자)","나가노현","2017-05-15","588","불검출","불검출","적합"
"66","과자(스낵과자)","나가노현","2017-05-15","480","불검출","불검출","적합"
"67","과자(스낵과자)","나가노현","2017-05-15","110","불검출","불검출","적합"
"68","과.채가공품","오카야마현","2017-04-21","9,600","불검출","불검출","적합"
"69","과자(크래커)","아이치현","","19","불검출","불검출","적합"
"70","연하곤란환자용점
도증진식품","시즈오카현","2017-04-20","180","불검출","불검출","적합"
"71","당류가공품","오사카부","2017-05-12","141","불검출","불검출","적합"
"72","볶은커피","미에현","2017-04-17","50","불검출","불검출","적합"
"73","과자(스낵과자)","니가타현","2017-05-08","312","불검출","불검출","적합"
"74","과자(스낵과자)","니가타현","2017-05-09","437","불검출","불검출","적합"
"75","과자(스낵과자)","니가타현","2017-05-09","465","불검출","불검출","적합"
"76","과자(스낵과자)","니가타현","2017-05-08","410","불검출","불검출","적합"
"77","과자(쿠키)","니가타현","2017-05-11","165","불검출","불검출","적합"
"78","과.채음료","후쿠오카현","2017-04-30","450","불검출","불검출","적합"
"79","탄산칼슘","오카야마현","2017-05-26","16,500","불검출","불검출","적합"
"80","자당지방산에스테르","미에현","2017-03-29","2,880","불검출","불검출","적합"
