"14","산화칼슘","아오모리현","2017-04-21","500","불검출","불검출","적합"
"15","식초절임(생강절임)","도치기현","2017-05-19","80","불검출","불검출","적합"
"16","식초절임","사이타마현","2017-05-19","66","불검출","불검출","적합"
"17","밀크초콜릿","훗카이도","2017-06-05","825","불검출","불검출","적합"
"18","화이트초콜릿","훗카이도","2017-06-05","150","불검출","불검출","적합"
"19","화이트초콜릿","훗카이도","2017-06-05","188","불검출","불검출","적합"
"20","밀크초콜릿","훗카이도","2017-06-05","150","불검출","불검출","적합"
"21","초콜릿가공품","훗카이도","2017-06-05","69","불검출","불검출","적합"
"22","초콜릿가공품","훗카이도","2017-06-05","171","불검출","불검출","적합"
"23","수산물가공품","시즈오카현","","1,000","불검출","불검출","적합"
"24","국수","가가와현","2017-05-26","3,852","불검출","불검출","적합"
"25","양조간장","오사카부","2017-05-22","324","불검출","불검출","적합"
"26","소스류","효고현","2017-04-24","1,386","불검출","불검출","적합"
"27","소스류","효고현","2017-03-23","1,386","불검출","불검출","적합"
"28","소스류","아이치현","2017-04-29","3,380","불검출","불검출","적합"
"29","소스류","효고현","2017-03-24","1,386","불검출","불검출","적합"
"30","소스류","아이치현","2017-04-26","1,666","불검출","불검출","적합"
"31","혼합제제","오사카부","2017-05-26","17","불검출","불검출","적합"
"32","혼합제제","오사카부","2017-05-31","17","불검출","불검출","적합"
"33","혼합제제","와카야마현","2017-05-18","60","불검출","불검출","적합"
"34","캔디류(사탕)","아이치현","2017-05-19","150","불검출","불검출","적합"
"35","캔디류(사탕)","아이치현","2017-05-19","310","불검출","불검출","적합"
"36","캔디류(사탕)","아이치현","2017-05-19","194","불검출","불검출","적합"
"37","캔디류(사탕)","아이치현","2017-05-19","300","불검출","불검출","적합"
"38","캔디류(사탕)","아이치현","2017-05-19","540","불검출","불검출","적합"
"39","캔디류(사탕)","아이치현","2017-05-17","480","불검출","불검출","적합"
"40","캔디류(사탕)","아이치현","2017-05-17","396","불검출","불검출","적합"
"41","커피/건조","콜롬비아","2017-01-05","35,002","불검출","불검출","적합"
"42","소스류","후쿠오카현","2017-05-30","8,100","불검출","불검출","적합"
"43","빵류(식빵)","나가노현","2017-05-22","240","불검출","불검출","적합"
"44","과자(스낵과자)","니가타현","2017-05-19","623","불검출","불검출","적합"
"45","과자(스낵과자)","니가타현","2017-05-19","216","불검출","불검출","적합"
"46","캔디류(사탕)","미에현","2017-03-30","253","불검출","불검출","적합"
"47","국수","가가와현","2017-04-04","3,500","불검출","불검출","적합"
"48","소스류","아이치현","2017-05-16","384","불검출","불검출","적합"
