"83","리큐르","나라현","","360","불검출","불검출","적합"
"84","청주","아이치현","2017-05-09","300","불검출","불검출","적합"
"85","청주","훗카이도","2017-05-10","346","불검출","불검출","적합"
"86","청주","니가타현","2017-05-02","86","불검출","불검출","적합"
"87","청주","기후현","2017-05-16","259","불검출","불검출","적합"
"88","청주","교토부","2017-04-27","173","불검출","불검출","적합"
"89","청주","니가타현","2017-04-20","1,728","불검출","불검출","적합"
"90","청주","니가타현","2017-04-25","43","불검출","불검출","적합"
"91","청주","시즈오카현","2017-04-27","86","불검출","불검출","적합"
"92","혼합제제","오사카부","2017-05-23","15","불검출","불검출","적합"
"93","혼합제제","오사카부","2017-05-19","30","불검출","불검출","적합"
"94","혼합제제","오사카부","2017-05-18","60","불검출","불검출","적합"
"95","혼합제제","와카야마현","2017-05-12","105","불검출","불검출","적합"
"96","액상차","시가현","2017-05-10","16,200","불검출","불검출","적합"
"97","액상차","시가현","2017-05-10","6,800","불검출","불검출","적합"
"98","과자(스낵과자)","니가타현","2017-05-18","1,326","불검출","불검출","적합"
"99","국수","사가현","2017-05-15","1,539","불검출","불검출","적합"
"100","국수","사가현","2017-05-09","306","불검출","불검출","적합"
"101","국수","사가현","2017-04-26","833","불검출","불검출","적합"
"102","국수","사가현","2017-04-25","833","불검출","불검출","적합"
"103","국수","사가현","2017-04-27","167","불검출","불검출","적합"
"104","국수","사가현","2017-05-08","1,476","불검출","불검출","적합"
"105","캔디류(젤리)","나가노현","2017-05-14","403","불검출","불검출","적합"
"106","청주","니가타현","2017-04-19","144","불검출","불검출","적합"
"107","청주","니가타현","2017-05-09","25,920","불검출","불검출","적합"
"108","청주","니가타현","2017-03-24","259","불검출","불검출","적합"
"109","청주","니가타현","2017-03-23","432","불검출","불검출","적합"
"110","청주","나가노현","2017-04-03","432","불검출","불검출","적합"
"111","캔디류(젤리)","나가노현","2017-05-15","403","불검출","불검출","적합"
"112","조미건어포류","오사카부","2017-05-10","1,044","불검출","불검출","적합"
"113","과자(비스킷)","아이치현","2017-05-16","90","불검출","불검출","적합"
"114","캔디류(양갱)","아이치현","2017-05-13","134","불검출","불검출","적합"
"115","과자(크래커)","오사카부","2017-05-26","98","불검출","불검출","적합"
"116","과자(스낵과자)","구마모토현","2017-05-18","75","불검출","불검출","적합"
"117","과자(크래커)","아이치현","2017-05-11","111","불검출","불검출","적합"
