"10","맥주","교토부","2017-04-17","202,104","불검출","불검출","적합"
"11","혼합제제","오사카부","2017-05-10","165","불검출","불검출","적합"
"12","혼합제제","도쿄도","2017-05-07","25","불검출","불검출","적합"
"13","혼합제제","미에현","2017-04-21","2,000","불검출","불검출","적합"
"14","혼합제제","미에현","2017-03-13","108","불검출","불검출","적합"
"15","과자(스낵과자)","니가타현","2017-03-06","1,275","불검출","불검출","적합"
"16","혼합제제","오사카부","2017-05-09","25","불검출","불검출","적합"
"17","기타가공품","이바라키현","2016-07-26","50","불검출","불검출","적합"
"18","과자(스낵과자)","아이치현","2017-04-06","176","불검출","불검출","적합"
"19","장류절임","미야자키현","2017-05-11","100","불검출","불검출","적합"
"20","국수","구마모토현","2017-05-10","7,195","불검출","불검출","적합"
"21","청주","나라현","2017-04-05","370","불검출","불검출","적합"
"22","빵류(파이)","훗카이도","2017-04-25","12,773","불검출","불검출","적합"
"23","청주","나라현","2017-04-12","148","불검출","불검출","적합"
"24","청주","나라현","2017-04-10","148","불검출","불검출","적합"
"25","청주","나라현","2017-04-14","148","불검출","불검출","적합"
"26","청주","나라현","2017-04-15","148","불검출","불검출","적합"
"27","청주","나라현","2017-04-13","148","불검출","불검출","적합"
"28","혼합제제","군마현","2017-04-28","600","불검출","불검출","적합"
"29","혼합제제","군마현","2017-04-19","100","불검출","불검출","적합"
"30","소스류","훗카이도","2017-05-12","1,000","불검출","불검출","적합"
"31","청주","미야기현","2017-04-01","324","불검출","불검출","적합"
"32","과자(스낵과자)","이바라키현","2017-05-09","3,266","불검출","불검출","적합"
"33","탄산음료","오사카부","2017-04-22","1,200","불검출","불검출","적합"
"34","캔디류(사탕)","미에현","2017-05-01","63","불검출","불검출","적합"
"35","캔디류(사탕)","미에현","2017-04-01","34","불검출","불검출","적합"
