"72","alpha-아밀라아제
(비세균성)","가나가와현","2017-05-10","360","불검출","불검출","적합"
"73","고형차","교토부","2017-04-28","760","불검출","불검출","적합"
"74","향신료조제품
(고추냉이가공품)","사이타마현","2017-03-14","120","불검출","불검출","적합"
"75","드레싱","아오모리현","2017-05-11","368","불검출","불검출","적합"
"76","복합조미식품","구마모토현","2017-05-18","486","불검출","불검출","적합"
"77","복합조미식품","구마모토현","2017-05-18","338","불검출","불검출","적합"
"78","과자(스낵과자)","니가타현","2017-05-15","918","불검출","불검출","적합"
"79","밀가루","후쿠오카현","2017-04-27","500","불검출","불검출","적합"
"80","농산물조림","훗카이도","2017-04-24","1,548","불검출","불검출","적합"
"81","백설탕","구마모토현","2017-05-16","50","불검출","불검출","적합"
"82","고형차","후쿠오카현","2017-05-16","100","불검출","불검출","적합"
"83","밀가루","훗카이도","2017-04-27","5,000","불검출","불검출","적합"
"84","캔디류(사탕)","아이치현","2017-05-10","192","불검출","불검출","적합"
"85","캔디류(사탕)","아이치현","2017-05-11","1,152","불검출","불검출","적합"
"86","캔디류(사탕)","아이치현","2017-05-12","300","불검출","불검출","적합"
"87","캔디류(사탕)","아이치현","2017-05-11","1,800","불검출","불검출","적합"
"88","캔디류(사탕)","아이치현","2017-05-11","900","불검출","불검출","적합"
"89","캔디류(사탕)","아이치현","2017-05-11","792","불검출","불검출","적합"
"90","청주","후쿠오카현","2017-04-24","130","불검출","불검출","적합"
"91","청주","이와테현","2017-04-19","40","불검출","불검출","적합"
"92","혼합제제","오카야마현","2017-01-20","30","불검출","불검출","적합"
"93","혼합제제","오카야마현","2017-05-10","15","불검출","불검출","적합"
"94","혼합제제","오카야마현","2017-05-10","15","불검출","불검출","적합"
"95","캔디류(사탕)","미에현","2017-04-13","1,901","불검출","불검출","적합"
"96","청주","미야기현","2017-01-07","138","불검출","불검출","적합"
"97","청주","효고현","2017-04-24","2,030","불검출","불검출","적합"
"98","청주","효고현","2017-04-25","2,281","불검출","불검출","적합"
"99","청주","효고현","2017-04-25","15,552","불검출","불검출","적합"
"100","청주","효고현","2017-04-25","3,110","불검출","불검출","적합"
