"순번","품목명","제조·생산지","제조일자","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 160건","","","","652,262","","",""
"1","혼합제제","오카야마현","2017-04-18","480","불검출","불검출","적합"
"2","혼합제제","미에현","2017-04-27","300","불검출","불검출","적합"
"3","청주","교토부","2017-03-03","968","불검출","불검출","적합"
"4","맥주","후쿠오카현","2017-04-14","296,820","불검출","불검출","적합"
"5","청주","교토부","2017-03-02","5,702","불검출","불검출","적합"
"6","즉석조리식품","가나가와현","2017-04-12","7,746","불검출","불검출","적합"
"7","즉석조리식품","가나가와현","2017-04-15","3,944","불검출","불검출","적합"
"8","복합조미식품","가나가와현","2017-02-08","62,592","불검출","불검출","적합"
"9","과자(스낵과자)","고치현","2017-03-23","41","불검출","불검출","적합"
"10","혼합제제","오사카부","2017-02-14","96","불검출","불검출","적합"
