"48","복합조미식품","돗토리현","(2018-10-16)","320","불검출","불검출","적합"
"49","과.채음료","오키나와현","2017-05-02","252","불검출","불검출","적합"
"50","캔디류(사탕)","아이치현","2017-04-10","97","불검출","불검출","적합"
"51","캔디류(사탕)","오사카부","2017-03-28","264","불검출","불검출","적합"
"52","캔디류(사탕)","오사카부","2017-03-27","528","불검출","불검출","적합"
"53","조미된장","아이치현","2017-04-25","8,300","불검출","불검출","적합"
"54","조미된장","아이치현","2017-03-28","10,000","불검출","불검출","적합"
"55","당류가공품","교토부","2017-04-04","78","불검출","불검출","적합"
"56","소스류","지바현","2017-03-29","2,691","불검출","불검출","적합"
"57","소스류","지바현","2017-03-09","44","불검출","불검출","적합"
"58","소스류","지바현","2017-04-05","1,858","불검출","불검출","적합"
"59","소스류","지바현","2017-04-10","119","불검출","불검출","적합"
"60","혼합제제","나가노현","2017-04-27","200","불검출","불검출","적합"
"61","소스류","에히메현","2017-04-11","3,000","불검출","불검출","적합"
"62","즉석조리식품","가가와현","2017-04-15","4,992","불검출","불검출","적합"
"63","국수","아이치현","2017-04-07","2,714","불검출","불검출","적합"
"64","액상커피","시가현","2017-03-16","52,800","불검출","불검출","적합"
"65","국수","사이타마현","2017-03-30","2,400","불검출","불검출","적합"
"66","폴리글리세린
지방산에스테르","효고현","2017-03-17","1,000","불검출","불검출","적합"
"67","청주","아오모리현","2017-04-17","3,240","불검출","불검출","적합"
"68","청주","아오모리현","2017-02-21","3,564","불검출","불검출","적합"
"69","청주","아오모리현","2017-01-11","756","불검출","불검출","적합"
"70","청주","아오모리현","2017-04-18","130","불검출","불검출","적합"
"71","맥주","교토부","2017-03-30","151,724","불검출","불검출","적합"
"72","맥주","후쿠오카현","2017-04-14","52,380","불검출","불검출","적합"
"73","소스류","도치기현","2017-03-03","1,287","불검출","불검출","적합"
"74","당류가공품","지바현","2016-09-17","98","불검출","불검출","적합"
"75","국수","사이타마현","2017-04-06","410","불검출","불검출","적합"
"76","향신료조제품
(고추냉이가공품)","나가노현","2017-02-16","2,150","불검출","불검출","적합"
"77","캔디류(사탕)","아이치현","2017-04-13","96","불검출","불검출","적합"
"78","과자(스낵과자)","미에현","2017-04-07","2,670","불검출","불검출","적합"
"79","과자(스낵과자)","미에현","2017-04-06","3,315","불검출","불검출","적합"
