"","","","","","","",""
"12","혼합제제","이바라키현","2017-04-03","30","불검출","불검출","적합"
"13","맥주","아이치현","2017-04-06","14,084","불검출","불검출","적합"
"14","식초절임","가고시마현","2017-04-13","80","불검출","불검출","적합"
"15","장류절임","가고시마현","","56","불검출","불검출","적합"
"16","식초절임","가고시마현","2017-04-13","170","불검출","불검출","적합"
"17","과자(웨이퍼)","기후현","2017-03-14","14","불검출","불검출","적합"
"18","과자(웨이퍼)","기후현","2017-03-16","14","불검출","불검출","적합"
"19","과자(웨이퍼)","기후현","2017-03-16","14","불검출","불검출","적합"
"20","과자(웨이퍼)","기후현","2017-03-17","14","불검출","불검출","적합"
"21","치자적색소","효고현","2017-04-05","50","불검출","불검출","적합"
"22","캔디류(사탕)","아이치현","2017-04-19","792","불검출","불검출","적합"
"23","캔디류(사탕)","아이치현","2017-04-19","1,152","불검출","불검출","적합"
"24","캔디류(사탕)","아이치현","2017-04-19","136","불검출","불검출","적합"
"25","캔디류(사탕)","아이치현","2017-04-17","217","불검출","불검출","적합"
"26","캔디류(사탕)","아이치현","2017-04-18","168","불검출","불검출","적합"
"27","캔디류(사탕)","아이치현","2017-04-19","1,980","불검출","불검출","적합"
"28","캔디류(사탕)","아이치현","2017-04-19","900","불검출","불검출","적합"
"29","과자(비스킷)","아이치현","2017-04-04","240","불검출","불검출","적합"
"30","청주","오이타현","2017-04-12","130","불검출","불검출","적합"
"31","청주","효고현","2017-03-09","1,296","불검출","불검출","적합"
"32","당류가공품","오키나와현","2017-04-11","581","불검출","불검출","적합"
"33","기타가공품","시즈오카현","2017-04-10","320","불검출","불검출","적합"
"34","당류가공품","오키나와현","2017-04-11","180","불검출","불검출","적합"
"35","당류가공품","오키나와현","2017-04-11","59","불검출","불검출","적합"
"36","당류가공품","오키나와현","2017-04-11","80","불검출","불검출","적합"
"37","가공소금","도쿄도","2017-04-03","11","불검출","불검출","적합"
"38","가공소금","도쿄도","2017-04-03","10","불검출","불검출","적합"
"39","소스류","나가사키현","2017-02-20","100","불검출","불검출","적합"
"40","소스류","후쿠오카현","2017-04-10","120","불검출","불검출","적합"
"41","조미된장","나가사키현","2017-04-04","300","불검출","불검출","적합"
