"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"62","액상차","시가현","2017-03-11","12,000","불검출","불검출","적합"
"63","심황색소(울금색소)","오사카부","2017-01-11","840","불검출","불검출","적합"
"64","기타천연착향료","도쿄도","2017-03-28","4","불검출","불검출","적합"
"65","혼합장","아이치현","2017-04-03","400","불검출","불검출","적합"
"66","조미된장","아이치현","2017-03-28","9,000","불검출","불검출","적합"
"67","과자(스낵과자)","사이타마현","2016-11-09","1,256","불검출","불검출","적합"
"68","과자(스낵과자)","니가타현","2017-03-23","1,326","불검출","불검출","적합"
"69","탄산칼슘","오카야마현","2017-03-22","17,000","불검출","불검출","적합"
"70","혼합제제","효고현","2017-03-30","34","불검출","불검출","적합"
"71","혼합제제","효고현","2017-03-30","68","불검출","불검출","적합"
"72","혼합장","교토부","2017-03-15","72","불검출","불검출","적합"
"73","캔디류(사탕)","미에현","2017-03-01","422","불검출","불검출","적합"
"74","당면","나라현","2017-03-01","30","불검출","불검출","적합"
"75","당절임","와카야마현","2016-12-07","12","불검출","불검출","적합"
"76","된장","아이치현","2017-03-14","100","불검출","불검출","적합"
"77","곡류가공품","아이치현","2017-03-06","19","불검출","불검출","적합"
"78","당류가공품","교토부","2017-03-09","47","불검출","불검출","적합"
"79","당류가공품","교토부","2017-03-16","180","불검출","불검출","적합"
"80","당류가공품","오사카부","2017-03-06","54","불검출","불검출","적합"
"81","캔디류(사탕)","후쿠시마현","2017-02-11","176","불검출","불검출","적합"
"82","청주","아이치현","2016-03-03","1,080","불검출","불검출","적합"
"83","캔디류(사탕)","후쿠시마현","2017-03-02","274","불검출","불검출","적합"
"84","홍국적색소","효고현","2017-03-24","3","불검출","불검출","적합"
"85","당류가공품","교토부","2017-03-13","78","불검출","불검출","적합"
"86","프로테아제(세균성)","효고현","2017-03-07","480","불검출","불검출","적합"
"87","청주","야마가타현","2016-01-25","173","불검출","불검출","적합"
