"","","","","","","",""
"10","양조간장","지바현","2017-02-13","379","불검출","불검출","적합"
"11","소스류","교토부","2017-03-15","3,060","불검출","불검출","적합"
"12","소스류","교토부","2017-03-22","3,300","불검출","불검출","적합"
"13","소스류","교토부","2017-03-23","4,920","불검출","불검출","적합"
"14","소스류","교토부","2017-03-23","6,550","불검출","불검출","적합"
"15","소스류","교토부","2017-03-18","1,338","불검출","불검출","적합"
"16","소스류","교토부","2017-02-21","2,170","불검출","불검출","적합"
"17","소스류","교토부","2017-03-25","1,260","불검출","불검출","적합"
"18","소스류","교토부","2017-03-25","2,394","불검출","불검출","적합"
"19","소스류","교토부","2017-03-23","2,286","불검출","불검출","적합"
"20","소스류","교토부","2017-03-25","1,700","불검출","불검출","적합"
"21","소스류","교토부","2017-03-18","19","불검출","불검출","적합"
"22","소스류","교토부","2017-03-24","125","불검출","불검출","적합"
"23","복합조미식품","교토부","2017-03-08","960","불검출","불검출","적합"
"24","소스류","교토부","2017-03-23","700","불검출","불검출","적합"
"25","청주","아키타현","2017-03-04","86","불검출","불검출","적합"
"26","청주","나가사키현","2017-02-26","52","불검출","불검출","적합"
"27","청주","나가사키현","2017-03-08","60","불검출","불검출","적합"
"28","청주","나가사키현","2017-03-10","60","불검출","불검출","적합"
"29","청주","미에현","2017-02-09","540","불검출","불검출","적합"
"30","준초콜릿","가나가와현","2017-02-09","820","불검출","불검출","적합"
"31","청주","나가사키현","2017-03-08","432","불검출","불검출","적합"
"32","청주","효고현","2017-03-30","594","불검출","불검출","적합"
