"","","","","","","",""
"67","즉석조리식품","가나가와현","2017-03-03","9,556","불검출","불검출","적합"
"68","혼합제제","이바라키현","2017-02-23","375","불검출","불검출","적합"
"69","혼합제제","히로시마현","2017-02-07","105","불검출","불검출","적합"
"70","혼합제제","히로시마현","2017-02-21","165","불검출","불검출","적합"
"71","기타천연착향료","히로시마현","2017-02-07","75","불검출","불검출","적합"
"72","추잉껌","오사카부","2017-01-31","760","불검출","불검출","적합"
"73","혼합제제","히로시마현","2017-03-03","450","불검출","불검출","적합"
"74","혼합제제","이바라키현","2017-03-03","240","불검출","불검출","적합"
"75","조미된장","아이치현","2017-03-24","3,000","불검출","불검출","적합"
"76","혼합제제","이바라키현","2017-02-22","900","불검출","불검출","적합"
"77","조미된장","아이치현","2017-03-03","5,630","불검출","불검출","적합"
"78","혼합제제","히로시마현","2017-02-21","75","불검출","불검출","적합"
"79","혼합제제","이바라키현","2017-02-20","690","불검출","불검출","적합"
"80","혼합제제","이바라키현","2017-02-21","225","불검출","불검출","적합"
"81","조미된장","아이치현","2017-03-21","9,000","불검출","불검출","적합"
"82","고구마전분","가고시마현","2016-11-15","111,000","불검출","불검출","적합"
"83","청주","효고현","2017-01-30","720","불검출","불검출","적합"
"84","청주","효고현","2017-03-01","4,800","불검출","불검출","적합"
"85","과자(비스킷)","아이치현","2017-03-21","63","불검출","불검출","적합"
"86","땅콩 또는
견과류가공품","아이치현","2017-03-16","280","불검출","불검출","적합"
"87","과자(스낵과자)","아이치현","2017-03-21","1,154","불검출","불검출","적합"
"88","청주","효고현","2017-03-07","1,800","불검출","불검출","적합"
"89","청주","효고현","2017-02-17","540","불검출","불검출","적합"
"90","청주","효고현","2017-02-17","540","불검출","불검출","적합"
"91","청주","효고현","2017-01-25","540","불검출","불검출","적합"
"92","청주","효고현","2017-02-21","216","불검출","불검출","적합"
