"37","청국장","가고시마현","2017-03-15","7,260","불검출","불검출","적합"
"38","혼합제제","오사카부","2017-03-23","15","불검출","불검출","적합"
"39","혼합제제","오사카부","2017-03-23","15","불검출","불검출","적합"
"40","종국","오사카부","2017-03-13","19","불검출","불검출","적합"
"41","종국","오사카부","2017-03-13","19","불검출","불검출","적합"
"42","당류가공품","효고현","2017-02-21","100","불검출","불검출","적합"
"43","즉석조리식품","야마구치현","2016-12-28","8","불검출","불검출","적합"
"44","청주","이바라키현","2017-02-20","86","불검출","불검출","적합"
"45","청주","이바라키현","2017-02-22","86","불검출","불검출","적합"
"46","즉석조리식품","오카야마현","2017-03-17","736","불검출","불검출","적합"
"47","즉석조리식품","오카야마현","2017-03-16","631","불검출","불검출","적합"
"48","냉면","훗카이도","2017-03-21","2,700","불검출","불검출","적합"
"49","청주","효고현","2017-02-06","432","불검출","불검출","적합"
"50","청주","효고현","2017-02-09","432","불검출","불검출","적합"
"51","청주","효고현","2017-01-16","30","불검출","불검출","적합"
"52","청주","효고현","2017-02-20","30","불검출","불검출","적합"
"53","청주","효고현","2017-03-09","3,240","불검출","불검출","적합"
"54","탄산칼슘","오카야마현","2017-03-16","16,500","불검출","불검출","적합"
"55","혼합제제","사이타마현","2017-03-21","360","불검출","불검출","적합"
"56","청주","지바현","2017-03-03","147","불검출","불검출","적합"
"57","탄산수소나트륨","야마구치현","2017-03-22","52,500","불검출","불검출","적합"
"58","고형차","아이치현","2017-02-10","6","불검출","불검출","적합"
"59","맥주","후쿠오카현","2017-03-02","67,200","불검출","불검출","적합"
"60","맥주","후쿠오카현","2017-03-09","331,740","불검출","불검출","적합"
"61","양조간장","지바현","2017-01-23","4,212","불검출","불검출","적합"
"62","청주","후쿠이현","2017-02-16","173","불검출","불검출","적합"
