"58","커피/건조","브라질
(수출국: 일본)","2014-11-14","12,000","불검출","불검출","적합"
"59","과자(비스킷)","니가타현","2017-03-10","336","불검출","불검출","적합"
"60","캔디류(양갱)","도쿄도","2017-03-10","164","불검출","불검출","적합"
"61","캔디류(양갱)","도쿄도","2017-03-06","161","불검출","불검출","적합"
"62","캔디류(양갱)","도쿄도","2017-03-08","165","불검출","불검출","적합"
"63","국수","구마모토현","2017-03-06","306","불검출","불검출","적합"
"64","캔디류(양갱)","아이치현","2017-03-15","864","불검출","불검출","적합"
"65","캔디류(양갱)","아이치현","2017-03-22","432","불검출","불검출","적합"
"66","캔디류(젤리)","아이치현","2017-03-22","259","불검출","불검출","적합"
"67","캔디류(젤리)","아이치현","2017-03-21","339","불검출","불검출","적합"
"68","캔디류(젤리)","아이치현","2017-03-21","407","불검출","불검출","적합"
"69","캔디류(사탕)","아이치현","2017-03-10","156","불검출","불검출","적합"
"70","캔디류(사탕)","아이치현","2017-03-03","134","불검출","불검출","적합"
"71","캔디류(사탕)","아이치현","2017-03-22","450","불검출","불검출","적합"
"72","초콜릿가공품","이바라키현","2017-03-14","14,520","불검출","불검출","적합"
"73","카레","니가타현","2017-02-07","600","불검출","불검출","적합"
"74","카레","니가타현","2017-02-28","960","불검출","불검출","적합"
"75","카레","니가타현","2017-02-28","600","불검출","불검출","적합"
"76","혼합제제","오카야마현","2017-03-23","90","불검출","불검출","적합"
"77","혼합제제","오카야마현","2015-11-10","60","불검출","불검출","적합"
"78","혼합제제","사이타마현","2017-03-27","40","불검출","불검출","적합"
"79","혼합제제","사이타마현","2017-03-21","50","불검출","불검출","적합"
"80","혼합제제","오카야마현","2017-02-20","15","불검출","불검출","적합"
"81","혼합제제","사이타마현","2017-03-16","480","불검출","불검출","적합"
"82","혼합제제","사이타마현","2017-03-14","1,494","불검출","불검출","적합"
