"","","","","","","",""
"47","식용유지가공품","지바현","2017-01-23","405","불검출","불검출","적합"
"48","소스류","가나가와현","(2017-10-06)","20","불검출","불검출","적합"
"49","비타민","사이타마현","2017-01-02","94.5","불검출","불검출","적합"
"50","기타가공품","시가현","2016-08-31","48","불검출","불검출","적합"
"51","혼합제제","시가현","2017-03-15","25","불검출","불검출","적합"
"52","혼합제제","시가현","2017-03-15","25","불검출","불검출","적합"
"53","액상차","미에현","2016-10-15","600","불검출","불검출","적합"
"54","액상차","미에현","2016-10-29","1,200","불검출","불검출","적합"
"55","즉석조리식품","오카야마현","2017-02-24","11.2","불검출","불검출","적합"
"56","글리세린지방산
에스테르","도치기현","2017-01-11","432","불검출","불검출","적합"
"57","글리세린지방산
에스테르","도치기현","2017-02-21","432","불검출","불검출","적합"
"58","양조간장","후쿠오카현","2017-03-17","9,262.5","불검출","불검출","적합"
"59","혼합제제","히로시마현","2016-10-11","400","불검출","불검출","적합"
"60","기타가공품","도야마현","2017-03-09","553.5","불검출","불검출","적합"
"61","소스류","도치기현","2017-02-19","432","불검출","불검출","적합"
"62","혼합제제","시가현","2017-03-14","25","불검출","불검출","적합"
"63","혼합제제","시가현","2017-03-14","50","불검출","불검출","적합"
"64","혼합제제","시가현","2017-03-10","50","불검출","불검출","적합"
"65","혼합제제","시가현","2017-03-15","20","불검출","불검출","적합"
"66","기타천연착향료","시가현","2017-03-13","10","불검출","불검출","적합"
"67","혼합제제","시가현","2017-03-15","40","불검출","불검출","적합"
"68","기타천연착향료","시가현","2017-03-14","50","불검출","불검출","적합"
"69","기타천연착향료","시가현","2017-03-14","150","불검출","불검출","적합"
"70","혼합제제","오카야마현","2017-03-15","120","불검출","불검출","적합"
"71","수산물가공품","오사카부","(2017-12-23)","100","불검출","불검출","적합"
"72","청주","니가타현","2017-03-01","172.8","불검출","불검출","적합"
"73","소스류","오사카부","2017-02-20","214.2","불검출","불검출","적합"
"74","소주","니가타현","2016-11-26","129.6","불검출","불검출","적합"
"75","소스류","오사카부","2017-02-16","7,695","불검출","불검출","적합"
"76","소스류","오사카부","2017-02-27","3,455.8","불검출","불검출","적합"
"77","소스류","나가사키현","2017-01-17","140.4","불검출","불검출","적합"
"78","혼합제제","오사카부","2017-03-09","120","불검출","불검출","적합"
