"79","리큐르","나라현","제조번호표시","360","불검출","불검출","적합"
"80","어묵","미야자키현","2017-03-06","399","불검출","불검출","적합"
"81","가공두부","후쿠오카현","2017-03-06","420","불검출","불검출","적합"
"82","어묵","사가현","2017-03-01","90","불검출","불검출","적합"
"83","어묵","사가현","2017-03-01","1,056","불검출","불검출","적합"
"84","어묵","사가현","2017-03-01","720","불검출","불검출","적합"
"85","어묵","사가현","2017-03-01","600","불검출","불검출","적합"
"86","어묵","사가현","2017-03-01","1,440","불검출","불검출","적합"
"87","어묵","사가현","2017-02-01","600","불검출","불검출","적합"
"88","어묵","사가현","2017-02-01","700","불검출","불검출","적합"
"89","어묵","사가현","2017-02-01","1,440","불검출","불검출","적합"
"90","어묵","이시카와현","2017-01-01","1,500","불검출","불검출","적합"
"91","어묵","사가현","2017-02-01","600","불검출","불검출","적합"
"92","청주","교토부","2017-01-26","4,320","불검출","불검출","적합"
"93","어묵","사가현","2017-03-01","600","불검출","불검출","적합"
"94","청주","효고현","2017-02-09","2,400","불검출","불검출","적합"
"95","청주","효고현","2017-01-27","1,890","불검출","불검출","적합"
"96","청주","효고현","2017-02-24","12,000","불검출","불검출","적합"
"97","과자(스낵과자)","고치현","2017-02-06","223","불검출","불검출","적합"
"98","액상차","후쿠이현","2016-11-12","2,064","불검출","불검출","적합"
"99","과자(쿠키)","아이치현","2017-02-02","120","불검출","불검출","적합"
"100","과자(스낵과자)","가고시마현","2017-02-09","764.8","불검출","불검출","적합"
"101","소스류","가나가와현","(2018-02-15)","216","불검출","불검출","적합"
"102","소스류","가나가와현","(2017-10-19)","348","불검출","불검출","적합"
"103","소스류","가나가와현","(2017-08-18)","481.7","불검출","불검출","적합"
"104","소스류","가나가와현","(2017-08-18)","1,181.7","불검출","불검출","적합"
"105","소스류","가나가와현","2016-12-31","33","불검출","불검출","적합"
"106","소스류","가나가와현","(2017-10-17)","112.5","불검출","불검출","적합"
"107","소스류","나가노현","(2018-04-18)","50","불검출","불검출","적합"
