"14","캔디류(사탕)","가나가와현","2017-02-07","302","불검출","불검출","적합"
"15","복합조미식품","효고현","2017-03-06","58","불검출","불검출","적합"
"16","기타가공품","훗카이도","2017-03-07","153","불검출","불검출","적합"
"17","조미된장","훗카이도","2017-03-04","1,000","불검출","불검출","적합"
"18","된장","훗카이도","2017-02-27","1,200","불검출","불검출","적합"
"19","소스류","훗카이도","2017-02-17","60","불검출","불검출","적합"
"20","소스류","훗카이도","2017-02-10","180","불검출","불검출","적합"
"21","소스류","훗카이도","2017-03-03","312","불검출","불검출","적합"
"22","소스류","훗카이도","2017-02-10","2,800","불검출","불검출","적합"
"23","된장","훗카이도","2017-03-03","320","불검출","불검출","적합"
"24","과자(비스킷)","훗카이도","2017-03-06","112","불검출","불검출","적합"
"25","과자(비스킷)","훗카이도","2017-03-06","112","불검출","불검출","적합"
"26","과자(한과류)","도쿠시마현","2017-03-05","1,400","불검출","불검출","적합"
"27","과자(웨이퍼)","아이치현","2017-03-07","274","불검출","불검출","적합"
"28","수산물가공품","훗카이도","2017-03-05","120","불검출","불검출","적합"
"29","소스류","에히메현","2017-02-13","960","불검출","불검출","적합"
"30","소스류","에히메현","2017-01-06","360","불검출","불검출","적합"
"31","소스류","훗카이도","2017-03-08","240","불검출","불검출","적합"
"32","소스류","에히메현","2017-01-24","576","불검출","불검출","적합"
"33","소스류","훗카이도","2017-02-22","108","불검출","불검출","적합"
"34","국수","시즈오카현","2017-02-16","378","불검출","불검출","적합"
"35","복합조미식품","훗카이도","2017-01-17","9","불검출","불검출","적합"
"36","복합조미식품","훗카이도","2017-02-07","9","불검출","불검출","적합"
"37","청국장","도쿄도","2017-03-10","1,669","불검출","불검출","적합"
"38","청국장","도쿄도","2017-03-10","19,561","불검출","불검출","적합"
"39","소스류","후쿠오카현","2017-03-23","7,500","불검출","불검출","적합"
"40","장류절임","가고시마현","2017-03-08","1,000","불검출","불검출","적합"
"41","소스류","지바현","2017-02-15","3,240","불검출","불검출","적합"
"42","국수","구마모토현","2017-03-09","482","불검출","불검출","적합"
"43","수산물가공품","훗카이도","2017-03-15","750","불검출","불검출","적합"
"44","소스류","에히메현","2017-03-22","5,556","불검출","불검출","적합"
"45","과자(스낵과자)","니가타현","2017-03-17","714","불검출","불검출","적합"
"46","수산물가공품","후쿠시마현","2017-02-17","180","불검출","불검출","적합"
"47","수산물가공품","후쿠시마현","2017-02-21","300","불검출","불검출","적합"
