"46","이산화규소","미야자키현","2017-02-27","50","불검출","불검출","적합"
"47","혼합제제","도쿄도","2017-02-27","160","불검출","불검출","적합"
"48","혼합제제","오사카부","2017-02-24","68","불검출","불검출","적합"
"49","소스류","야마나시현","2017-03-09","2,492","불검출","불검출","적합"
"50","혼합제제","오사카부","2017-03-02","405","불검출","불검출","적합"
"51","혼합제제","오사카부","2017-01-19","400","불검출","불검출","적합"
"52","혼합제제","도쿄도","2017-02-21","100","불검출","불검출","적합"
"53","혼합제제","히로시마현","2017-03-03","180","불검출","불검출","적합"
"54","혼합제제","히로시마현","2017-02-24","165","불검출","불검출","적합"
"55","혼합제제","시즈오카현","2017-03-02","2,000","불검출","불검출","적합"
"56","혼합제제","시즈오카현","2017-02-07","25","불검출","불검출","적합"
"57","혼합제제","히로시마현","2017-03-03","60","불검출","불검출","적합"
"58","혼합제제","나가노현","2017-02-24","450","불검출","불검출","적합"
"59","혼합제제","히로시마현","2017-01-19","120","불검출","불검출","적합"
"60","초콜릿가공품","사이타마현","2017-02-16","90.7","불검출","불검출","적합"
"61","과자(스낵과자)","니가타현","2017-03-06","71.4","불검출","불검출","적합"
"62","소스류","후쿠오카현","2017-02-16","3,607.8","불검출","불검출","적합"
"63","과자(스낵과자)","니가타현","2017-03-06","601.8","불검출","불검출","적합"
"64","과자(비스킷)","아이치현","2017-03-01","273.6","불검출","불검출","적합"
"65","캔디류(사탕)","미에현","2017-02-17","169","불검출","불검출","적합"
"66","유탕면류","아이치현","2017-02-17","105.3","불검출","불검출","적합"
"67","유탕면류","아이치현","2017-01-30","120.2","불검출","불검출","적합"
"68","유탕면류","아이치현","2017-01-16","118.8","불검출","불검출","적합"
"69","캔디류(사탕)","미에현","2017-03-01","320","불검출","불검출","적합"
"70","액상차","오사카부","2016-11-26","367.2","불검출","불검출","적합"
"71","국수","구마모토현","2017-02-27","344","불검출","불검출","적합"
"72","초콜릿가공품","후쿠오카현","2017-03-07","7,644","불검출","불검출","적합"
"73","캔디류(젤리)","군마현","2017-01-25","124.8","불검출","불검출","적합"
"74","과자(웨이퍼)","사이타마현","2017-02-16","784","불검출","불검출","적합"
"75","과자(웨이퍼)","기후현","( 2017-10-13 )","405","불검출","불검출","적합"
"76","액상커피","시가현","2017-02-21","5,580","불검출","불검출","적합"
"77","혼합장","훗카이도","2017-01-30","4,284","불검출","불검출","적합"
"78","소스류","훗카이도","2017-01-27","6,445.2","불검출","불검출","적합"
"79","기타식초","도치기현","2017-02-14","6,235.5","불검출","불검출","적합"
"80","소스류","군마현","2017-01-30","762.84","불검출","불검출","적합"
