"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"16","활우렁쉥이","홋카이도","2017-02-14","8,669","불검출","불검출","적합"
"17","냉장명태","홋카이도","2017-02-14","2,938","불검출","불검출","적합"
"18","냉장명태","홋카이도","2017-02-14","90","불검출","불검출","적합"
"19","냉장대구","홋카이도","2017-02-14","716","불검출","불검출","적합"
"20","냉장명태","홋카이도","2017-02-14","2,938","불검출","불검출","적합"
"21","냉장명태","홋카이도","2017-02-14","100","불검출","불검출","적합"
"22","냉장대구","홋카이도","2017-02-14","718","불검출","불검출","적합"
"23","냉장홍어","홋카이도","2017-02-14","101","불검출","불검출","적합"
"24","활우렁쉥이","홋카이도","2017-02-14","8,470","불검출","불검출","적합"
"25","냉장명태","홋카이도","2017-02-14","4,500","불검출","불검출","적합"
"26","냉장갈치","와카야마현","2017-02-14","232","불검출","불검출","적합"
"27","냉장가오리","야마구치현","2017-02-14","390","불검출","불검출","적합"
"28","냉장홍어","야마구치현","2017-02-14","110","불검출","불검출","적합"
"29","활가리비","홋카이도","2017-02-14","6,944","불검출","불검출","적합"
"30","활꼬막(새꼬막)","후쿠오카현","2017-02-14","5,920","불검출","불검출","적합"
"31","활장어(먹장어)","야마구치현","2017-02-14","622","불검출","불검출","적합"
"32","활가리비","홋카이도","2017-02-14","6,934","불검출","불검출","적합"
"33","냉동새우살","도야마현","2017-02-14","100","불검출","불검출","적합"
"34","활우렁쉥이","홋카이도","2017-02-14","9,218","불검출","불검출","적합"
