"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","125,321.7","-","-","-"
"1","활가리비","홋카이도","2016-12-21","7,000","불검출","불검출","적합"
"2","냉장전갱이
(흑점줄전갱이)","후쿠오카현","2016-12-21","5.9","불검출","불검출","적합"
"3","냉장방어(잿방어)","후쿠오카현","2016-12-21","4.8","불검출","불검출","적합"
"4","냉장갈치","오이타현","2016-12-21","330","불검출","불검출","적합"
"5","냉장돔(황돔)","후쿠오카현","2016-12-21","50","불검출","불검출","적합"
"6","냉장갈치","가나가와현","2016-12-21","6,800","불검출","불검출","적합"
"7","냉장갈치","후쿠오카현","2016-12-21","1,065","불검출","불검출","적합"
"8","냉장돔(참돔)","후쿠오카현","2016-12-21","80","불검출","불검출","적합"
"9","냉장병어","후쿠오카현","2016-12-21","70","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-12-21","3,400","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-12-21","3,400","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-12-21","1,500","불검출","불검출","적합"
"13","냉동상어
(청상아리,F)","태평양","2016-12-21","1,614","불검출","불검출","적합"
"14","냉장홍어","홋카이도","2016-12-21","2,448","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-12-21","3,913","불검출","불검출","적합"
"16","냉장갈치","오이타현","2016-12-21","235","불검출","불검출","적합"
"17","냉장갈치","가나가와현","2016-12-21","3,600","불검출","불검출","적합"
"18","냉장돔(황돔)","야마구치현","2016-12-21","90","불검출","불검출","적합"
