"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","2,629,404","-","-","-"
"1","냉동꽁치","대만","2016-11-25","371,989","불검출","불검출","적합"
"2","냉동꽁치","대만","2016-11-25","572,328","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-11-25","206,744","불검출","불검출","적합"
"4","냉동꽁치","대만","2016-11-25","84,285","불검출","불검출","적합"
"5","냉동꽁치","대만","2016-11-25","298,873","불검출","불검출","적합"
"6","냉동꽁치","대만","2016-11-25","199,252","불검출","불검출","적합"
"7","냉동꽁치","대만","2016-11-25","80,460","불검출","불검출","적합"
"8","냉동꽁치","대만","2016-11-25","40,500","불검출","불검출","적합"
"9","냉동꽁치","대만","2016-11-25","379,982","불검출","불검출","적합"
"10","냉동꽁치","대만","2016-11-25","182,336","불검출","불검출","적합"
"11","냉동꽁치","대만","2016-11-25","212,655","불검출","불검출","적합"
