"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","671,633","-","-","-"
"1","냉동가자미
(마소치가자미)","미국","2016-10-20","15,618","불검출","불검출","적합"
"2","냉동명태","러시아","2016-10-20","1,500","불검출","불검출","적합"
"3","냉동대구(F)","러시아","2016-10-20","20,000","불검출","불검출","적합"
"4","냉동꽁치","대만","2016-10-20","171,015","불검출","불검출","적합"
"5","냉동명태","러시아","2016-10-20","10,000","불검출","불검출","적합"
"6","냉동가자미
(각시가자미)","러시아","2016-10-20","22,500","불검출","불검출","적합"
"7","냉동대구","러시아","2016-10-20","136,512","불검출","불검출","적합"
"8","냉동꽁치","대만","2016-10-20","246,760","불검출","불검출","적합"
"9","냉동대구","러시아","2016-10-20","2,728","불검출","불검출","적합"
"10","냉동가자미
(각시가자미)","러시아","2016-10-20","22,500","불검출","불검출","적합"
"11","냉동가자미
(각시가자미)","러시아","2016-10-20","22,500","불검출","불검출","적합"
