"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"13","캔디류(사탕)","아이치현","2016-09-05","450","불검출","불검출","적합"
"14","캔디류(사탕)","아이치현","2016-09-02","240","불검출","불검출","적합"
"15","캔디류(사탕)","미에현","2016-09-12","1,690","불검출","불검출","적합"
"16","곡류가공품","시즈오카현","2016-08-03","1,500","불검출","불검출","적합"
"17","복합조미식품","야마구치현","2016-09-28","5,000","불검출","불검출","적합"
"18","액상커피","시가현","2016-09-19","9,000","불검출","불검출","적합"
"19","카레","사이타마현","2016-09-08","4,296","불검출","불검출","적합"
"20","초콜릿가공품","훗카이도","2016-09-28","48","불검출","불검출","적합"
"21","소스류","히로시마현","2016-08-03","1,835","불검출","불검출","적합"
"22","유탕면류","아이치현","2016-08-20","130","불검출","불검출","적합"
"23","초콜릿","훗카이도","2016-09-28","108","불검출","불검출","적합"
"24","디아스타아제","교토부","2016-09-08","30","불검출","불검출","적합"
"25","청주","야마구치현","2016-08-18","22","불검출","불검출","적합"
"26","과자(웨이퍼)","아이치현","2016-09-20","205","불검출","불검출","적합"
"27","어묵","ETC","2016-09-16","4,611","불검출","불검출","적합"
"28","어묵","ETC","2016-09-04","400","불검출","불검출","적합"
"29","청주","야마구치현","2016-09-03","259","불검출","불검출","적합"
"30","혼합음료","구마모토현","2016-08-17","48,000","불검출","불검출","적합"
"31","소스류","히로시마현","2016-07-26","608","불검출","불검출","적합"
"32","소스류","히로시마현","2016-08-31","1,584","불검출","불검출","적합"
"33","유탕면류","가고시마현","2016-08-31","405","불검출","불검출","적합"
"34","소스류","나가사키현","2016-09-13","1,789","불검출","불검출","적합"
"35","향신료조제품(고추
냉이가공품)","나가노현","2016-08-30","1,161","불검출","불검출","적합"
"36","향미유","시즈오카현","2016-08-29","210","불검출","불검출","적합"
"37","복합조미식품","야마구치현","2016-10-01","10,000","불검출","불검출","적합"
"38","초콜릿가공품","훗카이도","2016-09-28","119","불검출","불검출","적합"
"39","소스류","히로시마현","2016-08-30","2,880","불검출","불검출","적합"
"40","알긴산나트륨","지바현","2016-09-12","100","불검출","불검출","적합"
"41","캔디류(사탕)","미에현","2016-09-08","1,478","불검출","불검출","적합"
"42","고구마전분","가고시마현","2015-12-02","37,000","불검출","불검출","적합"
"43","초콜릿가공품","훗카이도","2016-09-28","257","불검출","불검출","적합"
"44","초콜릿가공품","훗카이도","2016-09-28","168","불검출","불검출","적합"
"45","복합조미식품","히로시마현","2016-09-22","10","불검출","불검출","적합"
"46","고형차","시즈오카현","2016-09-02","400","불검출","불검출","적합"
