"순번","품    목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","721,652","-","-","-"
"1","냉동명태(F)","러시아","2016-07-27","20,600","불검출","불검출","적합"
"2","냉동상어
(청상아리)","대만","2016-07-27","948","불검출","불검출","적합"
"3","냉동다랑어
(눈다랑어,목살)","대만","2016-07-27","599","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2016-07-27","22,900","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2016-07-27","15,200","불검출","불검출","적합"
"6","냉동대구","러시아","2016-07-27","1,226","불검출","불검출","적합"
"7","냉동명태(F)","러시아","2016-07-27","23,400","불검출","불검출","적합"
"8","냉동임연수어","한국","2016-07-27","13,752","불검출","불검출","적합"
"9","냉동명태","러시아","2016-07-27","559,924.5","불검출","불검출","적합"
"10","냉동가자미
(까지가자미)","러시아","2016-07-27","989","불검출","불검출","적합"
"11","냉동대구","러시아","2016-07-27","1,591","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2016-07-27","22,922.5","불검출","불검출","적합"
"13","냉동가자미
(각시가자미)","러시아","2016-07-27","20,000","불검출","불검출","적합"
"14","냉동명태(F)","러시아","2016-07-27","2,800","불검출","불검출","적합"
"15","냉동상어
(흑기흉상어)","대만","2016-07-27","14,800","불검출","불검출","적합"
