"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"35","냉장갈치","구마모토현","2016-02-04","680","불검출","불검출","적합"
"36","활가리비","홋카이도","2016-02-04","7,854","불검출","불검출","적합"
"37","냉장갈치","에히메현","2016-02-04","2,000","불검출","불검출","적합"
"38","냉장민어 수조기
(
)","가가와현","2016-02-04","160","불검출","불검출","적합"
"39","냉장돔 황돔(
)","나가사키현","2016-02-04","656","불검출","불검출","적합"
"40","냉장갈치","에히메현","2016-02-04","808","불검출","불검출","적합"
"41","냉장준치","구마모토현","2016-02-04","217","불검출","불검출","적합"
"42","냉장갈치","오이타현","2016-02-04","1,045","불검출","불검출","적합"
"43","냉장준치","효고현","2016-02-04","210","불검출","불검출","적합"
"44","냉장돔 황돔(
)","나가사키현","2016-02-04","130","불검출","불검출","적합"
"45","냉장갈치","에히메현","2016-02-04","824","불검출","불검출","적합"
"46","냉장갈치","효고현","2016-02-04","1,400","불검출","불검출","적합"
"47","냉장병어","효고현","2016-02-04","8","불검출","불검출","적합"
"48","활우렁쉥이","홋카이도","2016-02-04","8,579","불검출","불검출","적합"
