"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"16","냉장홍어","야마구치현","2015-11-20","120","불검출","불검출","적합"
"17","냉장갈치","오이타현","2015-11-20","1,655","불검출","불검출","적합"
"18","냉장갈치","에히메현","2015-11-20","630","불검출","불검출","적합"
"19","냉장갈치","에히메현","2015-11-20","798","불검출","불검출","적합"
"20","냉장명태","홋카이도","2015-11-20","4,150","불검출","불검출","적합"
"21","냉장명태","홋카이도","2015-11-20","4,150","불검출","불검출","적합"
"22","냉장홍어","홋카이도","2015-11-20","198","불검출","불검출","적합"
"23","냉장갈치","오이타현","2015-11-20","165","불검출","불검출","적합"
"24","냉장갈치","히로시마현","2015-11-20","200","불검출","불검출","적합"
"25","냉장갈치","에히메현","2015-11-20","620","불검출","불검출","적합"
"26","냉장가오리","에히메현","2015-11-20","510","불검출","불검출","적합"
"27","마른해삼 자숙(
)","홋카이도","2015-11-20","420","불검출","불검출","적합"
"28","마른해삼 자숙(
)","홋카이도","2015-11-20","10","불검출","불검출","적합"
