"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"15","냉동꽁치","대만","2015-11-05","68,770","불검출","불검출","적합"
"16","냉동꽁치","대만","2015-11-05","45,510","불검출","불검출","적합"
"17","냉동명태","러시아","2015-11-05","962,684","불검출","불검출","적합"
"18","냉동꽁치","대만","2015-11-05","99,640","불검출","불검출","적합"
"19","냉동꽁치","대만","2015-11-05","23,500","불검출","불검출","적합"
"20","마른명태","러시아","2015-11-05","12,900","불검출","불검출","적합"
"21","냉동대구","러시아","2015-11-05","199,671","불검출","불검출","적합"
"22","냉동꽁치","대만","2015-11-05","671,504","불검출","불검출","적합"
"23","냉동명태(F)","러시아","2015-11-05","22,650","불검출","불검출","적합"
"24","냉동상어 귀상어
(
)","중국","2015-11-05","16,967","불검출","불검출","적합"
"25","냉동대구(F)","러시아","2015-11-05","5,000","불검출","불검출","적합"
"26","냉동가자미
(
첨치가자미
)","러시아","2015-11-05","432","불검출","불검출","적합"
"27","냉동꽁치","대만","2015-11-05","40,446","불검출","불검출","적합"
