"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건13","-","-","70,848","-","-","-"
"1","활돔 돌돔(
)","에히메현","2015-10-14","1,097","불검출","불검출","적합"
"2","활돔 참돔(
)","에히메현","2015-10-14","7,550","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2015-10-14","1,207","불검출","불검출","적합"
"4","활돔 벵에돔
(
)","에히메현","2015-10-14","1,347","불검출","불검출","적합"
"5","활돔 참돔(
)","에히메현","2015-10-14","12,832","불검출","불검출","적합"
"6","활돔 참돔(
)","에히메현","2015-10-14","7,513","불검출","불검출","적합"
"7","냉동개아지살
(
가리비 포장횟감
,
)","홋카이도","2015-10-14","200","불검출","불검출","적합"
"8","냉장옥덩굴","오키나와현","2015-10-14","306","불검출","불검출","적합"
"9","활우렁쉥이","홋카이도","2015-10-14","10,108","불검출","불검출","적합"
"10","활우렁쉥이","홋카이도","2015-10-14","10,239","불검출","불검출","적합"
"11","활장어 먹장어
(
)","나가사키현","2015-10-14","2,315","불검출","불검출","적합"
"12","냉동가리비
(
외투막
)","홋카이도","2015-10-14","12,000","불검출","불검출","적합"
"13","냉동개아지살
(
가리비
)","홋카이도","2015-10-14","4,134","불검출","불검출","적합"
