"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","11건","-","-","61,324","-","-","-"
"1","냉동눈다랑어(목살)","태평양","2015-09-24","1,668","불검출","불검출","적합"
"2","냉동눈다랑어(목살)","가나가와현","2015-09-24","1,595","불검출","불검출","적합"
"3","냉동새치(황새치)","태평양","2015-09-24","414","불검출","불검출","적합"
"4","활돔(강담돔)","고치현","2015-09-24","944","불검출","불검출","적합"
"5","활우렁쉥이","홋카이도","2015-09-24","7,829","불검출","불검출","적합"
"6","활우렁쉥이","홋카이도","2015-09-24","8,283","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2015-09-24","8,497","불검출","불검출","적합"
"8","활우렁쉥이","홋카이도","2015-09-24","8,488","불검출","불검출","적합"
"9","활우렁쉥이","홋카이도","2015-09-24","9,664","불검출","불검출","적합"
"10","활가리비","홋카이도","2015-09-24","6,974","불검출","불검출","적합"
"11","활가리비","홋카이도","2015-09-24","6,968","불검출","불검출","적합"
