"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"14","캔디류(젤리)","오사카부","2015-05-01","144","불검출","불검출","적합"
"15","캔디류(젤리)","오사카부","2015-06-01","144","불검출","불검출","적합"
"16","빵류(케이크)","훗카이도","2015-07-25","1,247.4","불검출","불검출","적합"
"17","빵류(케이크)","훗카이도","2015-07-25","944.14","불검출","불검출","적합"
"18","빵류(케이크)","훗카이도","2015-07-25","1,247.4","불검출","불검출","적합"
"19","전분가공품","오사카부","2015-08-06","400","불검출","불검출","적합"
"20","조미건어포류","에히메현","2015-08-06","15.5","불검출","불검출","적합"
"21","카레","나가노현","2015-07-02","500","불검출","불검출","적합"
"22","카레","나가노현","2015-07-10","3,000","불검출","불검출","적합"
"23","카레","나가노현","2015-07-09","1,000","불검출","불검출","적합"
"24","카레","나가노현","2015-07-10","4,600","불검출","불검출","적합"
"25","카레분","사이타마현","2015-07-08","120","불검출","불검출","적합"
"26","소스류","오사카부","2015-07-23","2,160","불검출","불검출","적합"
"27","기타가공품(참깨분)","미에현","2015-07-13","72","불검출","불검출","적합"
"28","농산물조림","야마가타현","2015-06-10","600","불검출","불검출","적합"
"29","수산물가공품","교토부","2015-08-03","120","불검출","불검출","적합"
"30","곡류가공품","오사카부","2015-08-08","400","불검출","불검출","적합"
"31","혼합제제","히로시마현","2015-08-31","500","불검출","불검출","적합"
"32","혼합제제","지바현","2015-08-17","300","불검출","불검출","적합"
"33","맥주","오이타현","2015-08-01","14,760","불검출","불검출","적합"
"34","소스류","미에현","2015-03-24","250","불검출","불검출","적합"
"35","면류첨가알칼리제","오사카부","2015-07-30","400","불검출","불검출","적합"
"36","과자(크래커)","아이치현","2015-08-05","11.2","불검출","불검출","적합"
"37","혼합제제","나가노현","2015-05-01","180","불검출","불검출","적합"
"38","캔디류(사탕)","아이치현","2015-08-24","2,304","불검출","불검출","적합"
"39","캔디류(사탕)","아이치현","2015-08-21","1,800","불검출","불검출","적합"
"40","과자(비스킷)","사이타마현","2015-07-01","807.3","불검출","불검출","적합"
"41","캔디류(사탕)","아이치현","2015-08-24","1,584","불검출","불검출","적합"
"42","캔디류(젤리)","아이치현","2015-07-30","162.72","불검출","불검출","적합"
"43","조미건어포류","훗카이도","2015-08-06","5","불검출","불검출","적합"
"44","과자(스낵과자)","아이치현","2015-08-18","352.8","불검출","불검출","적합"
"45","소스류","시즈오카현","2015-05-28","192","불검출","불검출","적합"
"46","조미건어포류","훗카이도","2015-08-05","5.2","불검출","불검출","적합"
"47","과자(스낵과자)","아이치현","2015-08-17","234","불검출","불검출","적합"
