"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"18","냉장준치","야마구치현","2015-09-15","1,048","불검출","불검출","적합"
"19","냉장돔 참돔(
)","야마구치현","2015-09-15","566","불검출","불검출","적합"
"20","냉장돔 황돔(
)","야마구치현","2015-09-15","330","불검출","불검출","적합"
"21","냉장홍어","야마구치현","2015-09-15","290","불검출","불검출","적합"
"22","냉장돔 참돔(
)","후쿠오카현","2015-09-15","220","불검출","불검출","적합"
"23","냉장홍어","홋카이도","2015-09-15","2,195","불검출","불검출","적합"
"24","냉장홍어","홋카이도","2015-09-15","12,016","불검출","불검출","적합"
"25","냉장갈치","와카야마현","2015-09-15","856","불검출","불검출","적합"
"26","활가리비","홋카이도","2015-09-15","7,272","불검출","불검출","적합"
"27","냉장갈치","오이타현","2015-09-15","1,070","불검출","불검출","적합"
"28","냉장갈치","에히메현","2015-09-15","480","불검출","불검출","적합"
"29","냉장갈치","와카야마현","2015-09-15","272","불검출","불검출","적합"
"30","냉장홍어","홋카이도","2015-09-15","7,376","불검출","불검출","적합"
"31","냉장돔 황돔(
)","나가사키현","2015-09-15","520","불검출","불검출","적합"
"32","냉장갈치","와카야마현","2015-09-15","128","불검출","불검출","적합"
"33","냉장명태","홋카이도","2015-09-15","4,277","불검출","불검출","적합"
"34","냉장돔 황돔(
)","야마구치현","2015-09-15","330","불검출","불검출","적합"
"35","냉장명태","홋카이도","2015-09-15","4,290","불검출","불검출","적합"
"36","냉장홍어","홋카이도","2015-09-15","399","불검출","불검출","적합"
"37","냉장갈치","와카야마현","2015-09-15","1,600","불검출","불검출","적합"
"38","냉장명태","홋카이도","2015-09-15","2,508","불검출","불검출","적합"
