"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건27","-","-","28,715","-","-","-"
"1","활전갱이
(
흑점줄전갱이
)","에히메현","2015-8-28","995","불검출","불검출","적합"
"2","냉장명태","홋카이도","2015-8-28","1,728","불검출","불검출","적합"
"3","냉장돔 황돔(
)","야마구치현","2015-8-28","200","불검출","불검출","적합"
"4","냉장갈치","오이타현","2015-8-28","1,845","불검출","불검출","적합"
"5","냉장갈치","야마구치현","2015-8-28","155","불검출","불검출","적합"
"6","냉장돔 황돔(
)","야마구치현","2015-8-28","115","불검출","불검출","적합"
"7","냉장돔 참돔(
)","야마구치현","2015-8-28","1,143","불검출","불검출","적합"
"8","냉동다랑어
(
남방참다랑어 횟감
,F,
)","인도양","2015-8-28","495","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2015-8-28","1,426","불검출","불검출","적합"
"10","냉장갈치","오이타현","2015-8-28","280","불검출","불검출","적합"
"11","냉장명태","홋카이도","2015-8-28","672","불검출","불검출","적합"
"12","냉장갈치","오이타현","2015-8-28","25","불검출","불검출","적합"
"13","냉장명태","홋카이도","2015-8-28","684","불검출","불검출","적합"
"14","냉장돔 황돔(
)","후쿠오카현","2015-8-28","155","불검출","불검출","적합"
"15","냉장돔 황돔(
)","야마구치현","2015-8-28","270","불검출","불검출","적합"
"16","냉장돔 황돔(
)","나가사키현","2015-8-28","36","불검출","불검출","적합"
