"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건23","-","-","75,336","-","-","-"
"1","활돔 참돔(
)","나가사키현","2015-08-31","9,190","불검출","불검출","적합"
"2","활돔 벵에돔
(
)","나가사키현","2015-08-31","910","불검출","불검출","적합"
"3","활돔 참돔(
)","구마모토현","2015-08-31","6,045","불검출","불검출","적합"
"4","활돔 참돔(
)","구마모토현","2015-08-31","7,576","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-08-31","7,000","불검출","불검출","적합"
"6","활가리비","홋카이도","2015-08-31","11,500","불검출","불검출","적합"
"7","냉장홍어","야마구치현","2015-08-31","240","불검출","불검출","적합"
"8","활가리비","홋카이도","2015-08-31","6,999","불검출","불검출","적합"
"9","냉장가오리","야마구치현","2015-08-31","340","불검출","불검출","적합"
"10","냉장돔 참돔(
)","야마구치현","2015-08-31","335","불검출","불검출","적합"
"11","냉장돔 황돔(
)","야마구치현","2015-08-31","130","불검출","불검출","적합"
"12","냉장명태","홋카이도","2015-08-31","2,676","불검출","불검출","적합"
"13","활가리비","홋카이도","2015-08-31","6,852","불검출","불검출","적합"
"14","냉장갈치","오이타현","2015-08-31","485","불검출","불검출","적합"
"15","냉장돔 황돔(
)","나가사키현","2015-08-31","176","불검출","불검출","적합"
"16","냉장돔 황돔(
)","나가사키현","2015-08-31","408","불검출","불검출","적합"
