"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"13","소스류","나가사키현","2015-06-04","1,291.62","불검출","불검출","적합"
"14","소스류","나가사키현","2015-06-02","1,279.26","불검출","불검출","적합"
"15","소스류","나가사키현","2015-06-03","2,904.72","불검출","불검출","적합"
"16","소스류","나가사키현","2015-06-06","1,177","불검출","불검출","적합"
"17","소스류","나가사키현","2015-06-01","1,345.76","불검출","불검출","적합"
"18","곡류가공품","나가사키현","2015-05-27","950","불검출","불검출","적합"
"19","소스류","나가사키현","2015-05-01","622.5","불검출","불검출","적합"
"20","소스류","나가사키현","2015-05-18","259.2","불검출","불검출","적합"
"21","볶은커피","가가와현","2015-06-09","37.8","불검출","불검출","적합"
"22","청주","효고현","2015-04-17","504","불검출","불검출","적합"
"23","조미된장","나가노현","2015-06-10","800","불검출","불검출","적합"
"24","혼합제제","시가현","2015-06-22","50","불검출","불검출","적합"
"25","혼합제제","시가현","2015-06-19","20","불검출","불검출","적합"
"26","빵류(그외 빵류)","아이치현","2015-05-25","49.2","불검출","불검출","적합"
"27","빵류(그외 빵류)","아이치현","2015-05-25","256.5","불검출","불검출","적합"
"28","빵류(그외 빵류)","아이치현","2015-05-25","135","불검출","불검출","적합"
"29","빵류(그외 빵류)","아이치현","2015-05-25","54","불검출","불검출","적합"
"30","빵류(그외 빵류)","아이치현","2015-05-25","54","불검출","불검출","적합"
"31","탄산칼슘","오카야마현","2015-06-22","16,500","불검출","불검출","적합"
"32","폴리소르베이트20","와카야마현","2015-02-19","2,016","불검출","불검출","적합"
"33","폴리소르베이트80","와카야마현","2015-02-16","6,048","불검출","불검출","적합"
"34","초콜릿가공품","오사카부","2015-06-04","1,512","불검출","불검출","적합"
"35","초콜릿가공품","시즈오카현","2015-05-21","352","불검출","불검출","적합"
"36","과자(스낵과자)","고치현","2015-05-18","25.9","불검출","불검출","적합"
"37","과자(쿠키)","아이치현","2015-05-26","33.1","불검출","불검출","적합"
"38","과자(크래커)","이와테현","2015-05-28","87.4","불검출","불검출","적합"
"39","청주","히로시마현","2015-04-01","540","불검출","불검출","적합"
"40","청주","히로시마현","2015-04-09","288","불검출","불검출","적합"
"41","과자(스낵과자)","사이타마현","2014-12-22","2,512","불검출","불검출","적합"
"42","청주","히로시마현","2015-05-12","72","불검출","불검출","적합"
