"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"73","기타주류","후쿠오카현","2015-04-28","54","불검출","불검출","적합"
"74","액상커피","시가현","2015-04-18","172.8","불검출","불검출","적합"
"75","혼합제제","와카야마현","2015-06-09","15","불검출","불검출","적합"
"76","혼합제제","와카야마현","2015-06-08","15","불검출","불검출","적합"
"77","혼합제제","사이타마현","2015-06-15","60","불검출","불검출","적합"
"78","복합조미식품","에히메현","2015-05-28","120","불검출","불검출","적합"
"79","과자(웨이퍼)","아이치현","2015-06-15","136.8","불검출","불검출","적합"
"80","과자(스낵과자)","아이치현","2015-06-16","480","불검출","불검출","적합"
"81","과자(쿠키)","도쿠시마현","2015-06-15","330","불검출","불검출","적합"
"82","과자(쿠키)","나가노현","2015-06-03","554.4","불검출","불검출","적합"
"83","탄산음료","오사카부","2015-05-22","600","불검출","불검출","적합"
"84","고구마전분","가고시마현","2014-10-20","18,500","불검출","불검출","적합"
